foundation,ein,street,city,state,zip,lat,lng
Polk Bros Foundation,366108293,20 W Kinzie St 1110,Chicago,IL,60654,41.889296723989,-87.628894981368
Field Foundation of Illinois,366059408,200 W MADISON 3RD FLOOR,CHICAGO,IL,60606,41.881999441643,-87.633899204958
Joyce Foundation,366079185,321 N CLARK STREET 1500,CHICAGO,IL,60654,41.88812415326,-87.630961388177
Robert R McCormick Foundation,363689171,205 N MICHIGAN AVENUE SUITE 4300,CHICAGO,IL,60601,41.885942348304,-87.62444275857
Pritzker Traubert Foundation,364347781,444 W LAKE STREET Suite 3400,CHICAGO,IL,60606,41.885779441303,-87.639431130354
Wieboldt Foundation,362167955,53 W JACKSON BLVD 1060,CHICAGO,IL,60604,41.878104850676,-87.629636798425
Woods Fund of Chicago,363917968,200 WEST MADISON STREET 3RD FLOOR,CHICAGO,IL,60606,41.881999441643,-87.633899204958
Arie and Ida Crown Memorial,366076088,222 N LASALLE ST-STE 2000,CHICAGO,IL,60601,41.886359747638,-87.632543303327
Lloyd A Fry Foundation,366108775,120 SOUTH LASALLE STREET 1950,CHICAGO,IL,60603,41.88008989864,-87.632389221807
Grand Victoria Foundation,364107162,C/O IMPACT HOUSE 200 W MADISON 300,CHICAGO,IL,60606,41.881999441643,-87.633899204958
MacArthur Foundation,237093598,140 SOUTH DEARBORN ST STE 1200,CHICAGO,IL,60603,41.879807335912,-87.629433511513
Chicago Community Trust,362167000,33 S State Street 750,Chicago,IL,60603,41.881652198165,-87.627682025192
Accenture Foundation INC,364296414,500 W MADISON ST FL 21,CHICAGO,IL,60661,41.881945441978,-87.639762703171
Alphawood Foundation,363805338,2401 N HALSTED ST STE 210,CHICAGO,IL,60614,41.848934353134,-87.646419404237
Antonio J Gracias Family Foundation INC,853941297,500 W MADISON ST STE 3700,CHICAGO,IL,60661,41.881945441978,-87.639762703171
BJB Foundation,471516608,155 N MICHIGAN AVE 9003,CHICAGO,IL,60601,41.88491285404,-87.624397627279
Bernard Heerey Family Foundation,141840613,1 N LASALLE STREET SUITE 1100,CHICAGO,IL,60602,41.88201744155,-87.632282792682
Builders Initiative,821503941,167 N Green Street Suite 1600,Chicago,IL,60607,41.883877961089,-87.64851231332
CME Group Foundation,450575574,20 S WACKER DR,CHICAGO,IL,60606,41.881635471597,-87.637088619061
Chauncey and Marion Deering McCormick Foundation,366054815,410 NORTH MICHIGAN 590,CHICAGO,IL,60611,41.889728958938,-87.624408397376
Chicago Beyond INC,475610834,227 W MONROE ST STE 5000,CHICAGO,IL,60606,41.880596479252,-87.634227481002
Childrens Care Foundation,366088708,307 N MICHIGAN AVE 1005,CHICAGO,IL,60601,41.887496923251,-87.624475450992
Circle of Service Foundation,364185939,30 S WACKER DRIVE SUITE 2500,CHICAGO,IL,60606,41.881512398188,-87.637086157606
Coleman Foundation INC,363025967,20 North Wacker Drive 3410,Chicago,IL,60606,41.882191369239,-87.637100009791
Dauten Family Foundation,465053786,155 N WACKER DRIVE STE 4150,CHICAGO,IL,60606,41.884519441369,-87.636751288103
Donald R Wilson Jr Family Foundation,816959383,540 W MADISON STREET SUITE 2500,CHICAGO,IL,60661,41.881909323569,-87.641360246628
Earl and Brenda Shapiro Foundation,450524597,400 N MICHIGAN AVENUE SUITE 250,CHICAGO,IL,60611,41.889364493618,-87.624394465091
Ernest Wentcher Educational Fund,364170236,233 SOUTH WACKER DRIVE 4400,CHICAGO,IL,60606,41.878916229496,-87.636602795305
Exelon Foundation,830499473,10 S DEARBORN 50 FL,CHICAGO,IL,60603,41.88189289189,-87.6294765459
Finnegan Family Foundation,364221334,33 N DEARBORN 2230,CHICAGO,IL,60602,41.882737574404,-87.629349530679
Foglia Family Foundation,363925857,190 SOUTH LASALLE STREET 1700,CHICAGO,IL,60603,41.879514148711,-87.63237315861
