geography,geography_level,year,transaction_count,dollars,instrument_mix_text,transactions_missing_amount
Austin,community_area,2021,1008,24132215,"TERM: 1008 txn / $24,132,215",0
Bridgeport,community_area,2021,75,17868520,"TERM: 75 txn / $17,868,520",0
Armour Square,community_area,2021,59,14977446,"TERM: 59 txn / $14,977,446",0
South Shore,community_area,2021,657,13441871,"TERM: 657 txn / $13,441,871",0
Auburn Gresham,community_area,2021,646,12228882,"TERM: 646 txn / $12,228,882",0
Roseland,community_area,2021,611,11422085,"TERM: 611 txn / $11,422,085",0
Near West Side,community_area,2021,225,10712199,"TERM: 223 txn / $7,692,199; LOC: 2 txn / $3,020,000",0
West Pullman,community_area,2021,471,8823165,"TERM: 471 txn / $8,823,165",0
Greater Grand Crossing,community_area,2021,445,8017872,"TERM: 445 txn / $8,017,872",0
Mckinley Park,community_area,2021,41,7994226,"TERM: 41 txn / $7,994,226",0
Humboldt Park,community_area,2021,303,7788278,"TERM: 303 txn / $7,788,278",0
North Lawndale,community_area,2021,395,7609481,"TERM: 395 txn / $7,609,481",0
Ashburn,community_area,2021,287,7271801,"TERM: 287 txn / $7,271,801",0
Chicago Lawn,community_area,2021,382,7093692,"TERM: 382 txn / $7,093,692",0
West Town,community_area,2021,117,6970243,"TERM: 117 txn / $6,970,243",0
Garfield Ridge,community_area,2021,58,6967504,"TERM: 58 txn / $6,967,504",0
West Englewood,community_area,2021,352,6813348,"TERM: 352 txn / $6,813,348",0
Chatham,community_area,2021,361,6668587,"TERM: 361 txn / $6,668,587",0
Washington Heights,community_area,2021,347,6550424,"TERM: 347 txn / $6,550,424",0
Woodlawn,community_area,2021,286,6490525,"TERM: 286 txn / $6,490,525",0
Englewood,community_area,2021,328,6087189,"TERM: 328 txn / $6,087,189",0
Loop,community_area,2021,73,5925575,"TERM: 72 txn / $5,425,575; LOC: 1 txn / $500,000",0
Grand Boulevard,community_area,2021,298,5769595,"TERM: 298 txn / $5,769,595",0
Douglas,community_area,2021,163,5372117,"TERM: 162 txn / $5,177,117; LOC: 1 txn / $195,000",0
South Chicago,community_area,2021,286,5238510,"TERM: 286 txn / $5,238,510",0
Brighton Park,community_area,2021,64,5212027,"TERM: 64 txn / $5,212,027",0
East Garfield Park,community_area,2021,241,5211146,"TERM: 241 txn / $5,211,146",0
Hyde Park,community_area,2021,74,4567685,"TERM: 74 txn / $4,567,685",0
New City,community_area,2021,159,4514242,"TERM: 159 txn / $4,514,242",0
West Ridge,community_area,2021,184,4429976,"TERM: 184 txn / $4,429,976",0
West Garfield Park,community_area,2021,202,4328825,"TERM: 201 txn / $4,081,325; LOC: 1 txn / $247,500",0
Morgan Park,community_area,2021,233,4156749,"TERM: 233 txn / $4,156,749",0
Uptown,community_area,2021,98,4002511,"TERM: 98 txn / $4,002,511",0
Avondale,community_area,2021,45,3569591,"TERM: 45 txn / $3,569,591",0
Logan Square,community_area,2021,99,3427344,"TERM: 99 txn / $3,427,344",0
