program,tier,round,recipient,address,amount,log_line,source_url
Community Development Grant,large,Spring 2022,Blue Tin Production,3055 W 63rd Street,1750000,"Construct an apparel-manufacturing cooperative run by immigrant, refugee, and women of color workers with a co-working space and community room on the first floor.",ellen-sheet-2022
Community Development Grant,large,Spring 2022,Carnitas Uruapan,3801 W 26th Street,1184300,"Renovate existing Concordia building with 6,000-square-foot ground floor restaurant and 6-8 multifamily units.",ellen-sheet-2022
Community Development Grant,large,Spring 2022,Esperanza Health,4720 S California Ave,4200000,"Build a 43,000-square-foot neighborhood health campus with medical and behavioral health services, senior programming, a family medicine residency program with Rush University and indoor and outdoor spaces for health, learning and recreation.",ellen-sheet-2022
Community Development Grant,large,Spring 2022,Friend Health,700 E 63rd Street,2500000,"Build a new 20,000-square-foot immediate care facility, dental suite, community health resource center, administrative and executive offices, a Health Tech Incubator and a 70-car parking garage.",ellen-sheet-2022
Community Development Grant,large,Spring 2022,Humboldt Park Health,2933 W Division Street,2500000,"Construct a wellness center offering workout and swimming facilities, fitness training, exercise classes, a rehabilitation and sports medicine clinic and more.",ellen-sheet-2022
Community Development Grant,large,Spring 2022,Lindo Michoacan,3142 W Lawrence Ave,375000,Complete interior renovation of existing grocery store and exterior façade improvements.,ellen-sheet-2022
Community Development Grant,large,Spring 2022,Overton Center of Excellence,221 E 49th Street,5000000,"Transform the Overton School into flexible office space for entrepreneurs and nonprofits focused in the areas of CHANGE (Climate, Health, Arts & Culture, Next Generation, Growth and Education).",ellen-sheet-2022
Community Development Grant,large,Spring 2022,PODER Learning Center,3357 W 55th Street,2750000,Create an immigrant integration and job training center with English and workforce development and a community plaza.,ellen-sheet-2022
Community Development Grant,large,Spring 2022,Soul City Kitchen,5021 S Wabash Ave,1852116,Renovate a historic building in a shared community kitchen.,ellen-sheet-2022
Community Development Grant,large,Spring 2022,Sputnik Coffee,4743 S Talman Ave,1200000,Complete renovation for a coffee roastery and small cafe.,ellen-sheet-2022
Community Development Grant,large,Spring 2022,Westside Health Aspire Center,5500 W Madison St,7250000,"Repurpose the 87,000-square-foot former Robert Emmet Elementary School into an industry sector training center.",ellen-sheet-2022
Community Development Grant,large,Spring 2022,5 Rabbit Cerveceria,1901 S Sangamon St,250000,Open a small-batch brewery and full-service restaurant that will celebrate Latin culture and cuisine.,ellen-sheet-2022
Community Development Grant,large,Spring 2022,Austin Harvest,423 N Laramie Ave,250000,Renovate a youth-led produce market to build community through fresh food.,ellen-sheet-2022
Community Development Grant,large,Spring 2022,Back of the Yards Algae Sciences Food Production Facility,1400 W 46th St,250000,Produce vegan dairy products and plant-based meat using innovative ingredients.,ellen-sheet-2022
Community Development Grant,large,Spring 2022,Bronzeville Sustainable Commercial Center,4131 S State St,250000,Build commercial space for small businesses to lease in Bronzeville.,ellen-sheet-2022
Community Development Grant,large,Spring 2022,Emmett Street Market,2914 N Emmett St,250000,"House five community-based businesses including three retailers and food/beverage vendor Cafe Ambrocio (our food/beverage vendor), with the final, fifth site outfitted as a North Side outpost of the Silver Room store in Hyde Park.",ellen-sheet-2022
Community Development Grant,large,Spring 2022,Jeffery Java & Old Fashioned Donuts,7104 S Jeffery Blvd,250000,"Connect the South Shore residents and commuters at 71st and Jeffrey with high quality coffee, donuts, smoothies and pastries.",ellen-sheet-2022
Community Development Grant,large,Spring 2022,Magnifico Coffee Roasters,3063 N Milwaukee Ave,250000,Open a café and coffee roasting distribution company in Avondale.,ellen-sheet-2022
Community Development Grant,large,Spring 2022,The Revival,906 S Wabash Ave,250000,"Build a new theater to house a robust program of performances, classes, camps and workshops for residents and visitors to Chicago.",ellen-sheet-2022
Community Development Grant,large,Summer 2022,401/403 E 75th St Restaurant,401/403 E 75th St,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,7900 S Drexel Ave,7900-7906 S Drexel Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,BLDG Projects,4271 N Elston Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Bourdeau Griffin Design Center,8233 S Princeton Ave,2727321,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Cedar Concepts,4100 S Packers,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Chasing Tails 4 U Inc,313-315 S California,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Chicago Market,4620 N Broadway,5200000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,CircEsteem,4730 N Sheridan Rd,3697925,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Duo Development,1600 S Sawyer Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,EG Woode,1022 W 63rd St,3976598,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Esperanza Community Services,520 N Marshfield,585230,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Juan Teague/Batter & Berries,5924 W Chicago Ave,1892928,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,La 43,1615 W 43rd St,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Little Black Pearl/Carver 47,1060 E 47th St,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,NAFSI 1916,7059 S South Shore Drive,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,National Public Housing Museum,1322-1342 W Taylor St,4500000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Pearl's Place Restaurant,3901 S Michigan Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Rise Training Academy,8300 S Halsted St,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Rome's Joy Catering,4455 S MLK Dr,335228,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Small Shop Cycles & Service,4244 S Cottage Grove Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,South Shore Title Inc,2226 E 79th St,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Spill the Tea,5803 W Chicago Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Studio62,140-142 W 62nd,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Taqueria Palacio/Cerdito Muerto,1700 S Halsted,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,The Ave Cafe,5249 W Chicago Ave,601170,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,The Modern Place LLC,8300 S Brandon Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Third City Studio,5538 W North Ave #1,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Urban Market Exchange,525 E 67th St,1248055,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Urban Smoke Cafe LLC,6134-38 W North Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Yellow Banana (a),10700 S Halsted St,2265000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Yellow Banana (b),2858 E 83rd St,2300000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Yellow Banana (d),420 S Pulaski Rd,1940000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Yellow Banana (e),4439 W 63rd St,1750000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Yellow Banana (f),7240 S Stony Island Ave,2560000,,ellen-sheet-2022
Community Development Grant,large,Summer 2022,Yellow Banana (g),7908 S Halsted St,2647500,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,After School Matters' Lutz Garage and Greenhouse Project,3435 N Cicero,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Albany Park Theater Project,3547 W Montrose Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Angie's Pizza,8352 S Pulaski Road,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Apologue,1601 S Wolcott Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Bennett Place,1900-12 E 71st St,1500000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,BLK Cow,4308 S Calumet Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Cadence,4848 W Madison St,4000000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Casa Huitzil Cocina Compartida,3525 W 26th St,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Casa Indigo,2100 S Morgan St,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Eli's Cheesecake Company Innovation & Education Center,6701 W Forest Preserve Ave,1000000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Four Star Mushrooms,300 N Oakley Blvd,639051,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Great Minds Escape LLC,9214 S Commercial Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Intuit,756 N Milwaukee Ave,5000000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Karaoke on the Ave/Sunshine Horizons,5812 W Chicago Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,KFire Korean BBQ - Cabrini Green,1241 N Clybourn Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,KOCO Office and Silver Fox Cafe,4242 S Cottage Grove Ave,3655000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Lawrence Gateway,2919 W Lawrence Ave,3577693,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,LUCHA New Office Phase 1,4054-56 W North Ave,990000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Natural Renewals,8702 S Commercial Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Northwest Side Housing Center,5233 W Diversey Ave,1293000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Old Fashioned Donuts,11248 S Michigan Ave,562209,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Pullman Hotel,11030 S Doty Ave,5000000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Qideas,1134 W Artgyle St,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,South Chicago Sleep Lab,9011 S Commercial Ave,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Steep Theater,5300-18 N Kenmore Ave,2988535,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,The MAAFA Center for the Arts & Activism,4241 W Washington Blvd,1500000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,The Park Manor 75 LLC,600 E 75th St,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Twisted Egg Roll,657 E 75th St,784238,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Williams Chicken,8700 S Ashland/1607 W 87th,250000,,ellen-sheet-2022
Community Development Grant,large,Fall 2022,Woodlawn Dental Gallery,1467 E 67th St,250000,,ellen-sheet-2022
