record_id,program_id,program_name,record_kind,assistance_type,funding_classification,program_status,administrator_name,administering_department,historical_authorized_usd,historical_budgeted_usd,historical_encumbered_usd,historical_expended_usd,financial_stage_note,record_granularity,geographic_scope,is_business_recipient,is_mappable_business_location,is_active_incentive_dollars,address_use_policy,financial_aggregation_policy,source_authority,source_dataset_id,source_record_ids,source_url,source_query_url,source_as_of,source_dataset_updated_at,specification_number,contract_numbers,source_revision_count,latest_revision_number,grant_project_code,fund_code,parent_cost_center_code,aln_code,period_start,period_end
chicago-cdbg-cv:accounting:F005C-CARES20CD-P412505-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Public Health,,533840.20,,533840.20,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P412505-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P412505,14.218,2020-03-01,2026-07-31
chicago-cdbg-cv:accounting:F005C-CARES20CD-P412565-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Public Health,,8952189.87,,8663600.87,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P412565-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P412565,14.218,2020-03-01,2026-07-31
chicago-cdbg-cv:accounting:F005C-CARES20CD-P412598-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Public Health,,6201103.63,,6186055.04,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P412598-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P412598,14.218,2020-03-01,2026-07-31
chicago-cdbg-cv:accounting:F005C-CARES20CD-P502510-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Family and Support Services,,1575000.00,,1575000.00,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P502510-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P502510,14.218,2020-03-01,2026-07-31
chicago-cdbg-cv:accounting:F005C-CARES20CD-P502515-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Family and Support Services,,7082050.33,,7082050.33,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P502515-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P502515,14.218,2020-03-01,2026-07-31
chicago-cdbg-cv:accounting:F005C-CARES20CD-P502520-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Family and Support Services,,3939297.04,,3930944.49,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P502520-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P502520,14.218,2020-03-01,2026-07-31
chicago-cdbg-cv:accounting:F005C-CARES20CD-P502525-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Family and Support Services,,1560195.59,,1560195.59,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P502525-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P502525,14.218,2020-03-01,2026-07-31
chicago-cdbg-cv:accounting:F005C-CARES20CD-P502530-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Family and Support Services,,195070.27,,195070.27,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P502530-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P502530,14.218,2020-03-01,2026-07-31
chicago-cdbg-cv:accounting:F005C-CARES20CD-P542005-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Planning and Development,,11000000.00,,11000000.00,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P542005-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P542005,14.218,2020-03-01,2026-07-31
chicago-cdbg-cv:accounting:F005C-CARES20CD-P882505-2020,chicago-cdbg-cv,Community Development Block Grant Coronavirus (CDBG-CV),program_accounting,federal_grant_accounting,cdbg_cv_cares_act,closed_historical,,Department of Water Management,,6043550.00,,3858341.61,"City grant-accounting record. Budget, encumbrances, and expenditures are separate historical stages, not business-recipient awards. The relief opportunity is closed even if administrative accounting remained open.",accounting_level,citywide_context,false,false,false,no_recipient_address_available,never_sum_across_records,City of Chicago Office of Budget and Management,iyu8-jkf8,F005C-CARES20CD-P882505-2020,https://data.cityofchicago.org/d/iyu8-jkf8,https://data.cityofchicago.org/resource/iyu8-jkf8.json?%24where=grant_project_code+in%28%27CARES20CD%27%2C%27CARES20DB%27%29&%24order=grant_project_code%2Cdepartment_code%2Cparent_cost_center_code%2Crecord_id&%24limit=5000,2026-05-31,2026-07-08T13:18:35.000Z,,,0,,CARES20CD,F005C,P882505,14.218,2020-03-01,2026-07-31
