round_year,award_year,initiative,recipient_orgs,neighborhood,amount,purpose,address,lat,lng,locType,source_url
2020,2020,"Always Growing, Auburn Gresham (Chicago Prize winner)",Greater Auburn Gresham Development Corporation; Urban Growers Collective; Green Era Partners,Auburn Gresham,10000000,Chicago Prize 2020 winner: healthy lifestyle hub at 839 W 79th and renewable-energy urban farm campus.,839 W 79th St,41.750559852085,-87.64574084082,sited,https://blockclubchicago.org/2020/08/06/auburn-gresham-project-wins-10-million-prize-from-charitable-foundation/
2020,2019,"Always Growing, Auburn Gresham (finalist planning grant)",Greater Auburn Gresham Development Corporation,Auburn Gresham,100000,Chicago Prize finalist planning grant.,839 W 79th St,41.750559852085,-87.64574084082,sited,https://www.wbez.org/race-class-communities/2019/12/12/finalists-named-for-10-million-prize-to-aid-chicago-communities
2020,2019,The Aspire Initiative: Building a Stronger Cradle-to-Career Pipeline in Austin (finalist planning grant),Westside Health Authority; Austin Coming Together; By the Hand Club; United Way; LISC Chicago; IFF,Austin,100000,Chicago Prize finalist planning grant.,,,,citywide,https://www.wbez.org/race-class-communities/2019/12/12/finalists-named-for-10-million-prize-to-aid-chicago-communities
2020,2019,Go Green on Racine: An Englewood Rising Project (finalist planning grant),Inner-City Muslim Action Network; Teamwork Englewood; R.A.G.E.; E.G. Woode,Englewood,100000,Chicago Prize finalist planning grant; 63rd & Racine transformation.,6300 S Racine Ave,41.779063604372,-87.654565723563,sited,https://www.wbez.org/race-class-communities/2019/12/12/finalists-named-for-10-million-prize-to-aid-chicago-communities
2020,2019,Creating a Solidarity Economy: Centro de Solidaridad Mi Villita (finalist planning grant),Delta Institute; Little Village Environmental Justice Organization,South Lawndale,100000,Chicago Prize finalist planning grant.,,,,citywide,https://www.wbez.org/race-class-communities/2019/12/12/finalists-named-for-10-million-prize-to-aid-chicago-communities
2020,2019,Now Is the Time: Advancing North Lawndale Together (finalist planning grant),Lawndale Christian Development Corp; LCLC; New Covenant CDC; NLCCC; NLEN; Sinai; Under the Grid,North Lawndale,100000,Chicago Prize finalist planning grant.,,,,citywide,https://www.wbez.org/race-class-communities/2019/12/12/finalists-named-for-10-million-prize-to-aid-chicago-communities
2020,2019,We're Steel Here: Working Together to Reinvigorate South Chicago (finalist planning grant),Claretian Associates,South Chicago,100000,"Chicago Prize finalist planning grant; nine projects 91st-92nd, Commercial Ave to the river.",9100 S Commercial Ave,41.730017838541,-87.551331652184,sited,https://www.wbez.org/race-class-communities/2019/12/12/finalists-named-for-10-million-prize-to-aid-chicago-communities
2023,2023,Sankofa Wellness Village (Chicago Prize winner),Garfield Park Rite to Wellness Collaborative; The Community Builders; MAAFA Redemption Project,West Garfield Park,10000000,Chicago Prize 2023 winner: $50M wellness village anchored by the Sankofa Village Wellness Center (opened 4/2026).,4305 W Madison St,41.880579856018,-87.733195508505,sited,https://www.chicagobusiness.com/nonprofits-philanthropy/pritzker-traubert-foundation-names-winner-2023-chicago-prize
2023,2022,Sankofa Wellness Village (finalist planning funds),Garfield Park Rite to Wellness Collaborative,West Garfield Park,135000,Chicago Prize 2022-23 finalist planning funds; non-winning finalists also shared a $5M follow-on pool (PTF $2.5M + We Rise Together $2.5M; per-org split not published).,4305 W Madison St,41.880579856018,-87.733195508505,sited,https://blockclubchicago.org/2022/11/02/6-south-and-west-side-projects-named-finalists-for-10-million-chicago-prize/
2023,2022,Rooted & Rising (finalist planning funds),Back of the Yards Neighborhood Council,New City,135000,Chicago Prize 2022-23 finalist planning funds; non-winning finalists also shared a $5M follow-on pool (PTF $2.5M + We Rise Together $2.5M; per-org split not published).,,,,citywide,https://blockclubchicago.org/2022/11/02/6-south-and-west-side-projects-named-finalists-for-10-million-chicago-prize/
