sourceRecordId,sourceProgram,sourceUrl,sourcePublishedAt,sourceCheckedAt,payerName,payerEin,parentCompany,vehicle,recipient,awardYear,amountAwarded,amountEvidence,supportKind,purpose,publishedAddress,publishedCity,publishedState,publishedPostalCode,locationBasis,locationSourceUrl,locationSourceRecordId,possibleDuplicateOf,duplicateState,reviewState,reviewNote
cme-corrob-001,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,American Friends of Lubavitch,2024,5000,recipient_exact,cash_grant,Special Opportunities: to support the National Menorah,,,,,unavailable,,,,clear,hold,corroboration stream — never additive; see source-plan Priority 2 CME row.
cme-corrob-002,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,Shirley Ryan AbilityLab,2024,5000,recipient_exact,cash_grant,Special Opportunities: to support Community-Based Quality of Life Programs,,,,,unavailable,,,foundation-p2-8176,linked_same_award,hold,corroboration stream — never additive; see source-plan Priority 2 CME row. alias/dba/typo match
cme-corrob-003,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,MetroSquash,2024,10000,recipient_exact,cash_grant,Special Opportunities: to support general operations (additional grant),,,,,unavailable,,,foundation-p2-8161,linked_same_award,hold,corroboration stream — never additive; see source-plan Priority 2 CME row.
cme-corrob-004,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,Project Unloaded,2024,10000,recipient_exact,cash_grant,Special Opportunities: to support the Youth Council,,,,,unavailable,,,foundation-p2-8174,linked_same_award,hold,corroboration stream — never additive; see source-plan Priority 2 CME row.
cme-corrob-005,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,Start Early,2024,15000,recipient_exact,cash_grant,Special Opportunities: to support Early Childhood Education,,,,,unavailable,,,foundation-p2-8187,linked_same_award,hold,corroboration stream — never additive; see source-plan Priority 2 CME row.
cme-corrob-006,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,Global FoodBanking Network,2024,10000,recipient_exact,cash_grant,Special Opportunities: to support general operations,,,,,unavailable,,,foundation-p2-8190,linked_same_award,hold,corroboration stream — never additive; see source-plan Priority 2 CME row.
cme-corrob-007,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,Northwest Symphony Orchestra Association,2024,5000,recipient_exact,cash_grant,Special Opportunities: to support general operations,,,,,unavailable,,,,clear,hold,corroboration stream — never additive; see source-plan Priority 2 CME row.
cme-corrob-008,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,Northwestern Memorial Foundation,2024,5000,recipient_exact,cash_grant,Special Opportunities: to support Lake Forest Hospital,,,,,unavailable,,,,clear,hold,corroboration stream — never additive; see source-plan Priority 2 CME row.
cme-corrob-009,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,Misericordia,2024,30000,recipient_exact,cash_grant,Special Opportunities: to support general operations,,,,,unavailable,,,foundation-p2-8165,linked_same_award,hold,corroboration stream — never additive; see source-plan Priority 2 CME row. alias/dba/typo match
cme-corrob-010,CME Group Foundation — Special Opportunities,https://www.cmegroupfoundation.org/grants/special-opportunity.html,,2026-08-24,CME Group Foundation,,CME Group,corporate_foundation,Brady Center to Prevent Gun Violence,2024,10000,recipient_exact,cash_grant,Special Opportunities: to support general operations,,,,,unavailable,,,,clear,hold,corroboration stream — never additive; see source-plan Priority 2 CME row.
