sourceRecordId,sourceProgram,sourceUrl,sourcePublishedAt,sourceCheckedAt,payerName,payerEin,parentCompany,vehicle,recipient,awardYear,amountAwarded,amountEvidence,supportKind,purpose,publishedAddress,publishedCity,publishedState,publishedPostalCode,locationBasis,locationSourceUrl,locationSourceRecordId,possibleDuplicateOf,duplicateState,reviewState,reviewNote
comcast-rise-2021-001,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,8tiv Labs Corporation,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-002,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,A&B Auto Transport,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-003,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,AAA Storage Mgt. LLC,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-004,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,ABC Tailors,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-005,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Annapurna Simply Vegetarian,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-006,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Arju Corporation,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-007,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Axxum Consulting,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-008,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Bodhi & Sage,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-009,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Bombay Wraps,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-010,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Border City, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
