sourceRecordId,sourceProgram,sourceUrl,sourcePublishedAt,sourceCheckedAt,payerName,payerEin,parentCompany,vehicle,recipient,awardYear,amountAwarded,amountEvidence,supportKind,purpose,publishedAddress,publishedCity,publishedState,publishedPostalCode,locationBasis,locationSourceUrl,locationSourceRecordId,possibleDuplicateOf,duplicateState,reviewState,reviewNote
exelon-2025-001,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,AIDS Foundation of Chicago,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-002,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,American Cancer Society - Illinois,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-003,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Art Institute of Chicago,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-004,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Aspira of IL,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-005,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Avis Meade Village of Arlington Heights IL,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-006,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,BBB of Chicago and N Illinois Charitable & Educational Foundation,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-007,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,BWLA of Greater Chicago,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-008,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Academy of Sciences,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-009,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Aldermanic Black Caucus Foundation,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-010,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Bar Association,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-011,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Bird Collision Monitors,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-012,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago CRED,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-013,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Children’s Advocacy Center,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-014,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Children’s Museum,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-015,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Chinatown Community Foundation,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-016,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago City Council Latino Caucus Foundation,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-017,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Commons Association,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
