community_area,year,sb_loan_count,sb_loan_dollars
Albany Park,2022,868,24015000
Archer Heights,2022,265,13107000
Armour Square,2022,398,13112000
Ashburn,2022,778,12320000
Auburn Gresham,2022,811,10321000
Austin,2022,1578,42470000
Avalon Park,2022,294,4417000
Avondale,2022,869,25942000
Belmont Cragin,2022,1082,25211000
Beverly,2022,630,10349000
Bridgeport,2022,786,20511000
Brighton Park,2022,477,19792000
Burnside,2022,73,2450000
Calumet Heights,2022,287,4544000
Chatham,2022,556,11054000
Chicago Lawn,2022,567,7067000
Clearing,2022,369,10534000
Douglas,2022,425,8913000
Dunning,2022,1040,25976000
East Garfield Park,2022,349,12765000
East Side,2022,212,5024000
Edgewater,2022,1150,30011000
Edison Park,2022,329,10852000
Englewood,2022,293,4339000
Forest Glen,2022,712,14790000
Fuller Park,2022,37,583000
Gage Park,2022,321,9954000
Garfield Ridge,2022,597,15547000
Grand Boulevard,2022,664,8282000
Greater Grand Crossing,2022,595,9391000
Hegewisch,2022,98,2586000
Hermosa,2022,375,11478000
Humboldt Park,2022,826,27774000
Hyde Park,2022,677,12720000
Irving Park,2022,1346,35336000
Jefferson Park,2022,822,19247000
Kenwood,2022,395,6235000
Lake View,2022,2634,71941000
Lincoln Park,2022,2024,65413000
Lincoln Square,2022,1068,28843000
Logan Square,2022,1904,67571000
Loop,2022,6248,345925000
Lower West Side,2022,946,50767000
Mckinley Park,2022,317,13071000
Montclare,2022,313,4844000
Morgan Park,2022,476,7419000
Mount Greenwood,2022,270,7636000
Near North Side,2022,5787,237834000
Near South Side,2022,1273,33352000
Near West Side,2022,3743,171037000
New City,2022,579,26463000
North Center,2022,1132,38499000
North Lawndale,2022,500,23903000
North Park,2022,669,18666000
Norwood Park,2022,894,24634000
Oakland,2022,129,1196000
Ohare,2022,951,31063000
Portage Park,2022,1440,29556000
Pullman,2022,120,4749000
Riverdale,2022,50,1202000
Rogers Park,2022,837,13584000
Roseland,2022,722,8412000
South Chicago,2022,344,7011000
South Deering,2022,191,6739000
South Lawndale,2022,541,15996000
South Shore,2022,745,10496000
Uptown,2022,1207,30531000
Washington Heights,2022,515,6526000
Washington Park,2022,188,3786000
West Elsdon,2022,207,3957000
West Englewood,2022,311,5174000
West Garfield Park,2022,258,7475000
West Lawn,2022,404,9881000
West Pullman,2022,329,3676000
West Ridge,2022,2242,46831000
West Town,2022,3567,128441000
Woodlawn,2022,525,6952000
Albany Park,2023,959,17584000
Archer Heights,2023,242,12115000
Armour Square,2023,376,13949000
Ashburn,2023,668,13453000
Auburn Gresham,2023,558,7091000
Austin,2023,1442,44854000
Avalon Park,2023,222,2805000
Avondale,2023,915,24436000
Belmont Cragin,2023,1041,21007000
Beverly,2023,568,13199000
Bridgeport,2023,848,22347000
Brighton Park,2023,474,13856000
Burnside,2023,42,931000
Calumet Heights,2023,264,4109000
Chatham,2023,475,7578000
Chicago Lawn,2023,536,7284000
Clearing,2023,369,7179000
Douglas,2023,373,9645000
Dunning,2023,1070,25678000
East Garfield Park,2023,322,11270000
East Side,2023,209,3589000
Edgewater,2023,1110,29410000
Edison Park,2023,298,10056000
Englewood,2023,238,3293000
Forest Glen,2023,673,18428000
Fuller Park,2023,42,1812000
Gage Park,2023,336,7500000
Garfield Ridge,2023,634,15867000
Grand Boulevard,2023,548,9693000
Greater Grand Crossing,2023,442,7488000
Hegewisch,2023,96,1472000
Hermosa,2023,341,10468000
Humboldt Park,2023,768,25116000
Hyde Park,2023,614,11807000
Irving Park,2023,1447,41016000
Jefferson Park,2023,785,20274000
Kenwood,2023,379,4988000
Lake View,2023,2764,76687000
Lincoln Park,2023,1950,53635000
Lincoln Square,2023,1057,24910000
Logan Square,2023,1932,59314000
Loop,2023,5656,314101000
Lower West Side,2023,880,38085000
Mckinley Park,2023,297,11174000
Montclare,2023,274,5370000
Morgan Park,2023,466,6230000
Mount Greenwood,2023,247,5487000
Near North Side,2023,5499,213849000
Near South Side,2023,1257,27964000
Near West Side,2023,3654,147896000
New City,2023,524,25956000
North Center,2023,1069,38124000
North Lawndale,2023,362,22088000
North Park,2023,681,18309000
Norwood Park,2023,899,20205000
Oakland,2023,113,1052000
Ohare,2023,851,31078000
Portage Park,2023,1446,29596000
Pullman,2023,71,3383000
Riverdale,2023,54,1663000
Rogers Park,2023,799,11128000
Roseland,2023,574,8828000
South Chicago,2023,305,4233000
South Deering,2023,187,6876000
South Lawndale,2023,556,15240000
South Shore,2023,586,10722000
Uptown,2023,1232,28699000
Washington Heights,2023,396,7018000
Washington Park,2023,146,2332000
West Elsdon,2023,241,5267000
West Englewood,2023,310,5442000
West Garfield Park,2023,234,9673000
West Lawn,2023,436,8800000
West Pullman,2023,274,5652000
West Ridge,2023,2450,43041000
West Town,2023,3531,107058000
Woodlawn,2023,415,8378000
Albany Park,2024,1045,23688000
Archer Heights,2024,293,11177000
Armour Square,2024,381,12512000
Ashburn,2024,691,12288000
Auburn Gresham,2024,525,8678000
Austin,2024,1398,38296000
Avalon Park,2024,199,3603000
Avondale,2024,1019,26936000
Belmont Cragin,2024,1141,22508000
Beverly,2024,629,12245000
Bridgeport,2024,1019,20245000
Brighton Park,2024,577,15811000
Burnside,2024,34,1157000
Calumet Heights,2024,247,4085000
Chatham,2024,470,11049000
Chicago Lawn,2024,510,7297000
Clearing,2024,390,7535000
Douglas,2024,358,8733000
Dunning,2024,1132,24521000
East Garfield Park,2024,382,13652000
East Side,2024,215,3520000
Edgewater,2024,1381,31208000
Edison Park,2024,349,9031000
Englewood,2024,231,4465000
Forest Glen,2024,738,18595000
Fuller Park,2024,30,463000
Gage Park,2024,373,7631000
Garfield Ridge,2024,593,14053000
Grand Boulevard,2024,579,10507000
Greater Grand Crossing,2024,510,10238000
Hegewisch,2024,85,1532000
Hermosa,2024,384,11265000
Humboldt Park,2024,860,23982000
Hyde Park,2024,664,15342000
Irving Park,2024,1535,34935000
Jefferson Park,2024,768,22419000
Kenwood,2024,402,5790000
Lake View,2024,3203,73122000
Lincoln Park,2024,2363,63044000
Lincoln Square,2024,1178,27055000
Logan Square,2024,2231,63154000
Loop,2024,5975,352668000
Lower West Side,2024,1015,37289000
Mckinley Park,2024,348,11885000
Montclare,2024,337,7075000
Morgan Park,2024,406,10803000
Mount Greenwood,2024,256,6404000
Near North Side,2024,6217,247964000
Near South Side,2024,1500,39430000
Near West Side,2024,4127,166073000
New City,2024,511,18701000
North Center,2024,1331,35371000
North Lawndale,2024,390,15728000
North Park,2024,722,22538000
Norwood Park,2024,1069,22776000
Oakland,2024,119,1641000
Ohare,2024,974,28984000
Portage Park,2024,1560,29347000
Pullman,2024,90,1616000
Riverdale,2024,40,1326000
Rogers Park,2024,897,13640000
Roseland,2024,504,8533000
South Chicago,2024,265,7265000
South Deering,2024,155,5575000
South Lawndale,2024,558,15814000
South Shore,2024,597,11497000
Uptown,2024,1450,32869000
Washington Heights,2024,404,6447000
Washington Park,2024,109,2753000
West Elsdon,2024,247,7087000
West Englewood,2024,291,5903000
West Garfield Park,2024,225,6989000
West Lawn,2024,434,8486000
West Pullman,2024,277,4179000
West Ridge,2024,2590,43067000
West Town,2024,4057,123875000
Woodlawn,2024,440,9745000
