line_name,appropriation_code,appropriated_amount,original_description,line_type,explicit_project_address,source_url,source_version
129-55. Grants to Local Governments,141-42091-4400-0019,7850114.30,"Section 55. The sum of $8,210,864 $8,066,731, or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 136, Section 55 of Public Act 103-0589, as amended, is reappropriated from the Capital Development Fund to the Department of Commerce and Economic Opportunity for grants to local governments for the acquisition, financing, architectural planning, development, alteration, installation, and construction of capital facilities consisting of buildings, structures, durable equipment, and land as authorized by subsection (l) of Section 3 of the General Obligation Bond Act or for grants to State agencies for such purposes, including prior incurred costs.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
VILLAGE OF MELROSE PARK,141-42091-4400-0019,0.00,"GRANT FUNDS WILL BE USED TO PURCHASE PROPERTY AT 1501 N 17TH AVE & 1001-1101 N 25TH AVE, 1708 W MAIN ST; & 1620 N RIVERWOODS DR. GRANT FUNDS WILL BE USED FOR STREET PAVING ON BOTH GRANT AVE & NORWOOD ST & FOR UPDATING THE LIGHTING IN EXISTING STREET LIGHTS AT VARIOUS LOCATIONS WITHIN THE VILLAGE LIMITS, GRANT FUNDS WILL BE USED FOR SECURITY FENCING AT 1708 W MAIN ST, SCREENING FENCE AT 1501 N 17TH AVE, & AROUND THE PARK AT 1620 N RIVERWOODS DR, WITH BENCHES, INFORMATIONAL SIGNAGE & LANDSCAPING AT THE PARK AT",lump_sum,1501 N 17TH AVE,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
CITY OF AURORA,141-42091-4400-0019,111616.70,"GRANT FUNDS WILL BE USED FOR IMPROVEMENTS TO THE COMMUNITY CENTER, LOCATED AT 62-64 SOUTH LASALLE STREET IN AURORA.",lump_sum,62-64 SOUTH LASALLE STREET,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
VILLAGE OF CRESTWOOD,141-42091-4400-0019,105000.00,GRANT FUNDS WILL BE USED FOR COSTS ASSOCIATED WITH RESURFACING THE FOLLOWING STREETS IN CRESTWOOD: SPRINGFIELD AVENUE BETWEEN MIDLOTHIAN TURNPIKE AND 136TH STREET; 136TH STREET BETWEEN PULASKI AVENUE AND SPRINGFIELD AVE; AND 137TH STREET BETWEEN PULASKI AVE AND SPRINGFIELD AVE.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-60. Grants to Local Governments,141-42091-4400-0119,5000000.00,"SECTION 60. THE SUM OF $5,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 60 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE CAPITAL DEVELOPMENT FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR GRANTS TO LOCAL GOVERNMENTS FOR THE ACQUISITION, FINANCING, ARCHITECTURAL PLANNING, DEVELOPMENT, ALTERATION, INSTALLATION, AND CONSTRUCTION OF CAPITAL FACILITIES CONSISTING OF BUILDINGS, STRUCTURES, DURABLE EQUIPMENT, AND LAND AS AUTHORIZED BY SUBSECTION (L) OF SECTION 3 OF THE GENERAL OBLIGATION BOND ACT OR FOR GRANTS TO STATE AGENCIES FOR SUCH PURPOSES, INCLUDING PRIOR INCURRED COSTS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
CHICAGO PARK DISTRICT,141-42091-4400-0119,0.00,"GRANT FUNDS WILL BE USED TO CONSTRUT AN ARTIFICIAL TURF FIELD AND TRACK AT READ DUNNING MEMORIAL PARK, LOCATED AT WEST BELLE PLAINE AVENUE AND NORTH NEENAH AVENUE IN CHICAGO ILLINOIS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
"129-50. Open Spaces, Recreational and Conservation Purposes",141-42091-4900-0019,20561938.00,"SECTION 50. THE SUM OF $20,561,938, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 50 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE CAPITAL DEVELOPMENT FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR DEPOSITS INTO THE PARTNERS FOR CONSERVATION PROJECTS FUND AND OTHER PURPOSES AUTHORIZED BY SUBSECTION (C) OF SECTION 3 OF THE GENERAL OBLIGATION BOND ACT OR FOR GRANTS TO STATE AGENCIES FOR SUCH PURPOSES, INCLUDING PRIOR INCURRED COSTS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-65. Chicago Housing Authority,141-42091-4900-0219,64064.00,"SECTION 65. THE SUM OF $64,064, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 65 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE CAPITAL DEVELOPMENT FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHICAGO HOUSING AUTHORITY FOR LECLAIRE COURTS, INCLUDING PRIOR INCURRED COSTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-115. University of Chicago Medical Center,141-42091-4900-0419,473154.00,"SECTION 115. THE SUM OF $473,154, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 115 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE CAPITAL DEVELOPMENT FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE UNIVERSITY OF CHICAGO MEDICAL CENTER FOR COSTS ASSOCIATED WITH PROVIDENT HOSPITAL, INCLUDING PRIOR INCURRED COSTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
"129-165. Community Health and Emergency Services, Inc",141-42091-4900-0919,2084459.00,"SECTION 165. THE SUM OF $2,084,459, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 165 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE CAPITAL DEVELOPMENT FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO COMMUNITY HEALTH AND EMERGENCY SERVICES, INC. FOR THE CONSTRUCTION OF A HOSPITAL WING AT THE CAIRO MEGACLINIC, INCLUDING PRIOR INCURRED COSTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
