Project	Address	Award Amount	Year Awarded
Stewart Music Emporium	212 E. 79th St.	250000.00	2019
The Woodlawn	1200 E. 79th St.	179879.45	2018
Posh Space Coworking	1642 E. 79th St.	52500.00	2020
Strawberry Café	1652 E. 79th St.	250000.00	2018
TnS Studio	2320 E. 79th St.	90000.00	2020
Stony Island Designs	6948 S. Stony Island Ave.	120577.50	2019
South Shore Brew	7101 S. Yates Blvd.	98420.24	2017
Rock the Islands Café	7114 S. Yates Blvd.	59475.00	2019
Doughboy's	352 E. 71st St.	99000.00	2018
ABJ A.R.T.S.	1818 E. 71st St.	118950.00	2019
Urban Core	1840 E. 71st St.	250000.00	2019
Jeffery Java and Old Fashioned Donuts	1951 E. 71st St.	250000.00	2018
The Annex	2100 E. 71st St.	110000.00	2019
Full Video Production Services	2226 E. 71st St.	121350.00	2019
Civic Commons - St. Laurence	1341-53 E. 72nd Street	1600000.00	2019
Majani	7355 S. Exchange Ave.	159250.00	2018
Lee's Unleaded Blues	7401 S. South Chicago Ave.	136000.00	2020
Original Soul Vegetarian	203 E. 75th St.	250000.00	2017
Frances Cocktail Lounge	307 E. 75th St.	55267.65	2019
5 Loaves Eatery	405 E. 75th St.	211602.30	2019
5 Loaves Eatery / Harold's Chicken	407 E. 75th St.	250000.00	2018
Chicago Army & Lou's	416-24 E. 75th St.	150000.00	2018
The Woodshop Art Gallery	441 E. 75th St.	45175.00	2019
Karry Young Development	1310 E. 75th St.	250000.00	2019
M & M Realty LLC	1701 E. 75th St.	250000.00	2019
Sisters in Cinema	2310 E. 75th St.	181725.00	2017
The Quarry Event Center	2423 E. 75th St.	32850.00	2017
Party Wheelz	7508 S. Cottage Grove Ave.	132184.00	2019
Mana Gourmet Foods	942-44 E. 79th St.	62400.00	2018
Heritage Café	8118 S. Stony Island Ave.	250000.00	2019
Mikkey's Retro Grill	8126 S. Stony Island Ave.	139058.77	2017
Kenwood Dental Group	1335 E. 87th St.	123863.00	2018
The Law Office of Theodore London	1718 E. 87th St.	250000.00	2018
Essential Elements - Chicago	1640 E. 87th St.	20868.38	2017
S2 City Grill	8734 S. Stony Island Ave.	173407.00	2020
Nipsey's Restaurant & Bar	9156 S. Stony Island Ave.	250000.00	2019
Huddle House Diner	9401 S. Stony Island Ave.	1100000.00	2019
Gala Enterprises	10658 S. Michigan Ave.	178000.00	2020
