file,raw_idx,action,flag
foundation_grants_tier1_expansion.csv,2553,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_tier1_expansion.csv,2554,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_tier1_expansion.csv,2531,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_tier1_expansion.csv,2532,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1099,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1100,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1101,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1102,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1105,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1106,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,133,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,134,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,535,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,536,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,925,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,926,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,812,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,813,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,17,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,18,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,868,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,869,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,325,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,326,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,254,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,255,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,19,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,20,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,197,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,198,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1116,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1117,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1121,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1122,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,50,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,51,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1206,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1207,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,151,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,152,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1042,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1043,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,947,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,948,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1134,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1135,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1136,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1137,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,112,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,113,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1141,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1142,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1143,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1144,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,65,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,66,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,25,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,26,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,212,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,213,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1152,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1153,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,6,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,7,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,573,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,574,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,168,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,169,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,117,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,118,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,579,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,580,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,174,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,175,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,177,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,178,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,582,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,583,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,584,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,278,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,279,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,280,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,670,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,671,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,672,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1155,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,1157,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase3_expansion.csv,3272,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase3_expansion.csv,3273,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase3_expansion.csv,3214,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase3_expansion.csv,3215,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase3_expansion.csv,3285,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase3_expansion.csv,3286,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,7881,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,7882,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,8146,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,8147,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,7900,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,7901,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,8075,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,8076,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,8163,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,8164,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3477,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3482,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3483,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3503,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3505,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3542,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3543,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3529,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3530,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3319,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3353,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3568,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,3569,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,8730,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,8737,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,4589,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,4601,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,4304,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,4319,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,4548,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,4549,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,4178,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_geocoded.csv,4179,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,2555,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,2557,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,2563,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,2568,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_tier1_expansion.csv,1079,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_tier1_expansion.csv,1080,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5807,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5808,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5827,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5828,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5825,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5826,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5851,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5852,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5858,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5859,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5866,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5867,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5874,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5875,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5890,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5891,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5897,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5898,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5904,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5905,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5924,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5925,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5943,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5944,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5968,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5969,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5983,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5984,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5991,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5992,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5995,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,5996,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,6017,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,6018,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1024,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1025,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,725,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,728,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,726,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,727,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1027,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1028,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1029,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1654,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1655,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1052,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1053,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1377,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1378,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1379,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1056,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1057,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1058,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1060,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1061,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1062,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,758,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,759,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1067,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1068,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,764,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,766,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1072,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1073,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,785,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,786,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,787,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1097,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1098,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1099,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1710,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1711,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1128,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1129,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1142,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1143,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1464,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1465,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,830,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,831,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,834,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,835,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1155,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1156,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1768,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1769,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,854,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,855,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1169,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1170,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1172,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1173,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1190,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1191,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,876,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,877,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1510,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1511,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1203,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1204,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1518,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1519,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1206,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1207,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,885,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,887,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,916,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,917,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,918,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1235,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1236,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1843,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1844,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1255,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1256,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,957,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,960,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,958,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,959,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1276,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,1277,keep-flagged,Two source line items; award-level distinctness not independently verified.
foundation_grants_phase2_expansion.csv,965,keep-flagged,Two source line items; award-level distinctness not independently verified.
