foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
Arie and Ida Crown Memorial,2022,CROWN FAMILY FOUNDATION,30 S WELLS SUITE 3020,CHICAGO,IL,60606,5000000,PROGRAM,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHICAGO COMMUNITY FOUNDATION,33 S STATE ST SUITE 750,CHICAGO,IL,60603,1639750,PROGRAM,990-PF,41.881652198165,-87.627682025192,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHILDREN FIRST FUND THE CHICAGO PUBLIC SCHOOLS FOUNDATION,42 WEST MADISON STREET,CHICAGO,IL,60602,1200000,PROGRAM,990-PF,41.882055509591,-87.629329175517,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,JEWISH UNITED FUND OF METROPOLITAN CHICAGO,30 SOUTH WELLS STREET 3020,CHICAGO,IL,60606,1158809,GENERAL OPERATING,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHILDREN FIRST FUND THE CHICAGO PUBLIC SCHOOLS FOUNDATION,42 WEST MADISON STREET,CHICAGO,IL,60602,1100000,PROGRAM,990-PF,41.882055509591,-87.629329175517,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,ONE MILLION DEGREES,180 N WABASH AVE,CHICAGO,IL,60601,1000000,PROGRAM,990-PF,41.885383955465,-87.626340906809,sited
Arie and Ida Crown Memorial,2022,START EARLY,33 WEST MONROE STREET,CHICAGO,IL,60603,1000000,CAPITAL,990-PF,41.880666800206,-87.629157524398,sited
Arie and Ida Crown Memorial,2022,START EARLY,33 WEST MONROE STREET,CHICAGO,IL,60603,1000000,CAPITAL,990-PF,41.880666800206,-87.629157524398,sited
Arie and Ida Crown Memorial,2022,JEWISH UNITED FUND OF METROPOLITAN CHICAGO,30 SOUTH WELLS STREET 3020,CHICAGO,IL,60606,750000,GENERAL OPERATING,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,UNIVERSITY OF CHICAGO,5235 S HARPER COURT,CHICAGO,IL,60615,650000,GENERAL OPERATING;PROGRAM,990-PF,41.799935726883,-87.588037196681,sited
Arie and Ida Crown Memorial,2022,LOCAL INITIATIVES SUPPORT CORPORATION,10 S RIVERSIDE PLAZA 17TH FLOOR,CHICAGO,IL,60606,600000,PROGRAM;CAPITAL,990-PF,,,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,SARAH'S CIRCLE,4838 N SHERIDAN RD,CHICAGO,IL,60640,600000,GENERAL OPERATING;CAPITAL,990-PF,41.970220392732,-87.654924666894,sited
Arie and Ida Crown Memorial,2022,CHICAGO PUBLIC EDUCATION FUND,200 WEST ADAMS SUITE 1175,CHICAGO,IL,60606,562500,GENERAL OPERATING,990-PF,41.879443442077,-87.633831702154,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,ADLER PLANETARIUM,1300 SOUTH DUSABLE LAKE SHORE DRIVE,CHICAGO,IL,60605,500000,CAPITAL,990-PF,,,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,AMERICAN COMMITTEE FOR THE WEIZMANN INSTITUTE OF SCIENCE,MIDWEST OFFICE,CHICAGO,IL,60601,500000,ENDOWMENT,990-PF,,,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHICAGO CRED INC,300 E RANDOLPH ST SUITE 3850 C/O,CHICAGO,IL,60601,500000,PROGRAM,990-PF,41.884573440455,-87.620479292826,sited
Arie and Ida Crown Memorial,2022,CHICAGO PUBLIC EDUCATION FUND,200 WEST ADAMS SUITE 1175,CHICAGO,IL,60606,500000,PROGRAM,990-PF,41.879443442077,-87.633831702154,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHICAGO PUBLIC MEDIA,848 EAST GRAND AVENUE,CHICAGO,IL,60611,500000,GENERAL OPERATING;CAPITAL,990-PF,41.892187438564,-87.609927254642,sited
Arie and Ida Crown Memorial,2022,CHICAGO PUBLIC MEDIA,848 EAST GRAND AVENUE,CHICAGO,IL,60611,500000,GENERAL OPERATING;CAPITAL,990-PF,41.892187438564,-87.609927254642,sited
Arie and Ida Crown Memorial,2022,CHILDREN FIRST FUND THE CHICAGO PUBLIC SCHOOLS FOUNDATION,42 WEST MADISON STREET,CHICAGO,IL,60602,500000,PROGRAM,990-PF,41.882055509591,-87.629329175517,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHILDREN FIRST FUND THE CHICAGO PUBLIC SCHOOLS FOUNDATION,42 WEST MADISON STREET,CHICAGO,IL,60602,500000,PROGRAM,990-PF,41.882055509591,-87.629329175517,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CONNECTIONS FOR ABUSED WOMEN AND THEIR CHILDREN,1116 NORTH KEDZIE 5TH FLOOR,CHICAGO,IL,60651,500000,GENERAL OPERATING;CAPITAL,990-PF,41.901809739887,-87.706833683051,sited
Arie and Ida Crown Memorial,2022,INTRINSIC SCHOOLS,4540 W BELMONT STREET,CHICAGO,IL,60641,500000,PROGRAM,990-PF,41.93896902508,-87.741014908103,sited
Arie and Ida Crown Memorial,2022,METROPOLITAN FAMILY SERVICES,101 NORTH WACKER DRIVE 17TH FLOOR,CHICAGO,IL,60606,500000,PROGRAM,990-PF,41.883259441584,-87.636719789755,sited
Arie and Ida Crown Memorial,2022,PLANNED PARENTHOOD OF ILLINOIS,18 S MICHIGAN AVENUE 6TH FLOOR,CHICAGO,IL,60603,500000,CAPITAL,990-PF,41.881367819857,-87.624527825232,sited
Arie and Ida Crown Memorial,2022,RUSH UNIVERSITY MEDICAL CENTER,OFFICE OF PHILANTHROPY,CHICAGO,IL,60607,500000,CAPITAL,990-PF,,,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,RUSH UNIVERSITY MEDICAL CENTER,OFFICE OF PHILANTHROPY,CHICAGO,IL,60607,500000,CAPITAL,990-PF,,,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,TEACH FOR AMERICA,300 WEST ADAMS STREET SUITE 1000,CHICAGO,IL,60606,500000,GENERAL OPERATING,990-PF,41.879425442163,-87.635312201698,sited
Arie and Ida Crown Memorial,2022,CHICAGO COALITION FOR THE HOMELESS,70 EAST LAKE STREET SUITE 720,CHICAGO,IL,60601,425000,GENERAL OPERATING;PROGRAM,990-PF,41.885782775355,-87.625858436593,sited
Arie and Ida Crown Memorial,2022,ELEVATE ENERGY,322 S GREEN ST,CHICAGO,IL,60607,424000,GENERAL OPERATING,990-PF,41.877610205745,-87.648476895173,sited
Arie and Ida Crown Memorial,2022,BOTTOM LINE INC,65 EAST WACKER PLACE SUITE 800,CHICAGO,IL,60601,400000,GENERAL OPERATING,990-PF,41.886762848959,-87.625449468425,sited
Arie and Ida Crown Memorial,2022,CHILDREN FIRST FUND THE CHICAGO PUBLIC SCHOOLS FOUNDATION,42 WEST MADISON STREET,CHICAGO,IL,60602,400000,PROGRAM,990-PF,41.882055509591,-87.629329175517,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHICAGO PUBLIC EDUCATION FUND,200 WEST ADAMS SUITE 1175,CHICAGO,IL,60606,385000,PROGRAM,990-PF,41.879443442077,-87.633831702154,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,ACADEMY FOR URBAN SCHOOL LEADERSHIP,3400 NORTH AUSTIN AVENUE,CHICAGO,IL,60634,375000,PROGRAM,990-PF,41.943540613734,-87.7764918249,sited
Arie and Ida Crown Memorial,2022,UNITED WAY OF METROPOLITAN CHICAGO,333 S WABASH AVENUE 30TH FLOOR,CHICAGO,IL,60604,375000,PROGRAM,990-PF,41.877809331031,-87.625998820959,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,BOTTOM LINE INC,65 EAST WACKER PLACE SUITE 800,CHICAGO,IL,60601,350000,GENERAL OPERATING;PROGRAM,990-PF,41.886762848959,-87.625449468425,sited
Arie and Ida Crown Memorial,2022,CHICAGO COMMUNITY TRUST,33 S STATE ST SUITE 750,CHICAGO,IL,60603,350000,PROGRAM,990-PF,41.881652198165,-87.627682025192,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,BRAVEN INC,100 N LASALLE STREET,CHICAGO,IL,60602,333333,GENERAL OPERATING,990-PF,41.883268441347,-87.632486206776,sited
Arie and Ida Crown Memorial,2022,CITY YEAR INC,303 EAST WACKER DRIVE SUITE 2750,CHICAGO,IL,60601,333333,PROGRAM,990-PF,41.887748427515,-87.620522089915,sited
Arie and Ida Crown Memorial,2022,EMBARC INC,PO BOX 221450,CHICAGO,IL,60622,333333,PROGRAM,990-PF,,,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,INGENUITY INCORPORATED CHICAGO,440 N WELLS ST STE 505,CHICAGO,IL,60654,333333,PROGRAM,990-PF,41.890170853726,-87.634111271441,sited
Arie and Ida Crown Memorial,2022,START EARLY,33 WEST MONROE STREET,CHICAGO,IL,60603,330000,PROGRAM,990-PF,41.880666800206,-87.629157524398,sited
Arie and Ida Crown Memorial,2022,ALLIANCE FOR THE GREAT LAKES,150 N MICHIGAN AVE SUITE 700,CHICAGO,IL,60601,300000,GENERAL OPERATING,990-PF,41.884931224143,-87.624552861651,sited
Arie and Ida Crown Memorial,2022,COMMERCIAL CLUB FOUNDATION,21 S CLARK STREET,CHICAGO,IL,60603,300000,PROGRAM,990-PF,41.881923760895,-87.630803072709,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,ONE MILLION DEGREES,180 N WABASH AVE,CHICAGO,IL,60601,300000,GENERAL OPERATING;PROGRAM,990-PF,41.885383955465,-87.626340906809,sited
Arie and Ida Crown Memorial,2022,P33,21 S CLARK ST,CHICAGO,IL,60603,300000,GENERAL OPERATING,990-PF,41.881923760895,-87.630803072709,sited
Arie and Ida Crown Memorial,2022,PARTNERSHIP FOR COLLEGE COMPLETION,200 S MICHIGAN AVE,CHICAGO,IL,60604,300000,GENERAL OPERATING,990-PF,41.879498661338,-87.624506074574,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,SVARA,4411 N RAVENSWOOD AVE,CHICAGO,IL,60640,300000,GENERAL OPERATING,990-PF,41.961761310611,-87.673904467517,sited
Arie and Ida Crown Memorial,2022,UNIVERSITY OF CHICAGO,5235 S HARPER COURT,CHICAGO,IL,60615,300000,PROGRAM,990-PF,41.799935726883,-87.588037196681,sited
Arie and Ida Crown Memorial,2022,CHILDREN FIRST FUND THE CHICAGO PUBLIC SCHOOLS FOUNDATION,42 WEST MADISON STREET,CHICAGO,IL,60602,282695,PROGRAM,990-PF,41.882055509591,-87.629329175517,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,HEARTLAND ALLIANCE FOR HUMAN NEEDS & HUMAN RIGHTS,208 SOUTH LASALLE STREET SUITE 1300,CHICAGO,IL,60604,275000,GENERAL OPERATING;PROGRAM,990-PF,41.879132477534,-87.632361460549,sited
Arie and Ida Crown Memorial,2022,HEARTLAND ALLIANCE FOR HUMAN NEEDS & HUMAN RIGHTS,208 SOUTH LASALLE STREET SUITE 1300,CHICAGO,IL,60604,275000,GENERAL OPERATING;PROGRAM,990-PF,41.879132477534,-87.632361460549,sited
Arie and Ida Crown Memorial,2022,ACADEMY FOR GLOBAL CITIZENSHIP CHARTER SCHOOL,4647 WEST 47TH STREET,CHICAGO,IL,60632,250000,CAPITAL,990-PF,41.807607136609,-87.739792903484,sited
Arie and Ida Crown Memorial,2022,ADVANCE ILLINOIS,303 E WACKER DRIVE,CHICAGO,IL,60601,250000,GENERAL OPERATING,990-PF,41.887748427515,-87.620522089915,sited
Arie and Ida Crown Memorial,2022,CHICAGO ABORTION FUND,333 W NORTH AVENUE SUITE 267,CHICAGO,IL,60610,250000,CAPITAL,990-PF,41.910999845488,-87.637697236039,sited
Arie and Ida Crown Memorial,2022,CHICAGO CARES,1200 W 35TH ST UNIT 302,CHICAGO,IL,60609,250000,GENERAL OPERATING,990-PF,41.830680444473,-87.655806470223,sited
Arie and Ida Crown Memorial,2022,CHICAGO JEWISH DAY SCHOOL,3730 N CALIFORNIA AVE,CHICAGO,IL,60618,250000,GENERAL OPERATING;PROGRAM,990-PF,41.948874269173,-87.698173014454,sited
Arie and Ida Crown Memorial,2022,FACING HISTORY AND OURSELVES INC,2 N LASALLE STREET,CHICAGO,IL,60602,250000,PROGRAM,990-PF,41.882017441558,-87.632436705409,sited
Arie and Ida Crown Memorial,2022,INNER-CITY MUSLIM ACTION NETWORK,2745 WEST 63RD STREET,CHICAGO,IL,60629,250000,GENERAL OPERATING,990-PF,41.779068235578,-87.692472088202,sited
Arie and Ida Crown Memorial,2022,JEWISH FEDERATION OF METROPOLITAN CHICAGO,30 SOUTH WELLS STREET,CHICAGO,IL,60606,250000,PROGRAM,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,JEWISH UNITED FUND OF METROPOLITAN CHICAGO,30 SOUTH WELLS STREET 3020,CHICAGO,IL,60606,250000,GENERAL OPERATING,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,KIPP CHICAGO SCHOOLS,2007 S HALSTED STREET,CHICAGO,IL,60608,250000,PROGRAM,990-PF,41.855172566776,-87.646487508164,sited
Arie and Ida Crown Memorial,2022,LATINO POLICY FORUM,180 N MICHIGAN AVE,CHICAGO,IL,60601,250000,PROGRAM,990-PF,41.885373782984,-87.624570287649,sited
Arie and Ida Crown Memorial,2022,LEAP INNOVATIONS,20 WEST KINZIE STREET SUITE 1500,CHICAGO,IL,60654,250000,PROGRAM,990-PF,41.889296723989,-87.628894981368,sited
Arie and Ida Crown Memorial,2022,NATIONAL LOUIS UNIVERSITY,CHICAGO CAMPUS,CHICAGO,IL,60603,250000,PROGRAM,990-PF,,,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,NEW COVENANT COMMUNITY DEVELOPMENT,2653 WEST OGDEN AVENUE,CHICAGO,IL,60608,250000,CAPITAL,990-PF,41.862367203312,-87.692178824237,sited
Arie and Ida Crown Memorial,2022,NEW COVENANT COMMUNITY DEVELOPMENT,2653 WEST OGDEN AVENUE,CHICAGO,IL,60608,250000,CAPITAL,990-PF,41.862367203312,-87.692178824237,sited
Arie and Ida Crown Memorial,2022,THE NETWORK ADVOCATING AGAINST DOMESTIC VIOLENCE,ONE EAST WACKER DRIVE SUITE 1630,CHICAGO,IL,60601,250000,PROGRAM,990-PF,41.887177895037,-87.626333450504,sited
Arie and Ida Crown Memorial,2022,JEWISH FEDERATION OF METROPOLITAN CHICAGO,30 SOUTH WELLS STREET,CHICAGO,IL,60606,240000,PROGRAM,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,CHICAGO CHILDREN'S MUSEUM,700 EAST GRAND AVENUE SUITE 127,CHICAGO,IL,60611,233000,PROGRAM,990-PF,41.892187438564,-87.609927254642,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,ILLINOIS ACTION FOR CHILDREN,4753 N BROADWAY,CHICAGO,IL,60640,223000,PROGRAM,990-PF,41.968222373579,-87.659195405517,sited
Arie and Ida Crown Memorial,2022,ALL CHICAGO,651 W WASHINGTON BLVD SUITE 504,CHICAGO,IL,60661,200000,GENERAL OPERATING,990-PF,41.883104198314,-87.644697339863,sited
Arie and Ida Crown Memorial,2022,AMERICAN JEWISH COMMITTEE,71 W MADISON STREET,CHICAGO,IL,60602,200000,GENERAL OPERATING,990-PF,41.881956849935,-87.628187811676,sited
