ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
133187074,The Raymond Frankel Foundation,202241319349104744,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,58,2802759.0,2802759.0,,2802759.0,0.0,reconciled,row sum ties printed line-3a total within $1,1,2000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202241319349104744_public.xml,dd8858abd5a7e2a9,phase2-2026-08-03.1
133187074,The Raymond Frankel Foundation,202322509349100012,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,51,3395752.0,3395752.0,,3395752.0,0.0,reconciled,row sum ties printed line-3a total within $1,1,1000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202322509349100012_public.xml,75d8d25351fade5d,phase2-2026-08-03.1
133187074,The Raymond Frankel Foundation,202402079349101305,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,46,3590413.0,3590413.0,,3590413.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202402079349101305_public.xml,03bd96e52037b647,phase2-2026-08-03.1
133187074,The Raymond Frankel Foundation,202521619349100512,2024,990PF,2024v5.1,2024-01-01,2024-12-31,N,55,3014245.0,3014245.0,,3014245.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202521619349100512_public.xml,38874b10bb9c4db9,phase2-2026-08-03.1
136048718,Hagedorn Fund,202201169349100410,2021,990PF,2021v4.1,2021-01-01,2021-12-31,N,65,3301000.0,3301000.0,,3301000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202201169349100410_public.xml,d3700c8adb06fa7f,phase2-2026-08-03.1
136048718,Hagedorn Fund,202311219349102366,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,61,3689000.0,3689000.0,,3689000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202311219349102366_public.xml,04a4589018fc033b,phase2-2026-08-03.1
136048718,Hagedorn Fund,202432839349100043,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,52,3630000.0,3630000.0,,3630000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202432839349100043_public.xml,4f9aa650a33817d3,phase2-2026-08-03.1
136048718,Hagedorn Fund,202531279349101918,2024,990PF,2024v5.1,2024-01-01,2024-12-31,N,43,1970000.0,1970000.0,,1970000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202531279349101918_public.xml,d5962e72687cbe39,phase2-2026-08-03.1
136138728,George D Smith Fund INC,202241309349104039,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,11,3900400.0,3900400.0,,3900400.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202241309349104039_public.xml,792332d3e11b8648,phase2-2026-08-03.1
136138728,George D Smith Fund INC,202331319349103108,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,14,4315100.0,4315100.0,,4315100.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202331319349103108_public.xml,032661dddda1fa26,phase2-2026-08-03.1
136138728,George D Smith Fund INC,202431349349101863,2023,990PF,2023v5.0,2023-01-01,2023-12-31,N,13,3770000.0,3770000.0,,3770000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202431349349101863_public.xml,ed98d5c13f05ec16,phase2-2026-08-03.1
136138728,George D Smith Fund INC,202501299349102955,2024,990PF,2024v5.1,2024-01-01,2024-12-31,N,11,3985000.0,3985000.0,,3985000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501299349102955_public.xml,b732662281c82026,phase2-2026-08-03.1
136141339,Lohengrin Foundation INC,202243199349101944,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,32,2943625.0,2943625.0,,2943625.0,0.0,reconciled,row sum ties printed line-3a total within $1,18,1393125.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202243199349101944_public.xml,4f814f5ef24aba4b,phase2-2026-08-03.1
136141339,Lohengrin Foundation INC,202313199349108656,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,50,4812513.0,4812513.0,,4812513.0,0.0,reconciled,row sum ties printed line-3a total within $1,33,3242183.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349108656_public.xml,2b10c519444981a4,phase2-2026-08-03.1
136141339,Lohengrin Foundation INC,202443209349107404,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,62,4973454.0,4973454.0,,4973454.0,0.0,reconciled,row sum ties printed line-3a total within $1,46,4051082.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443209349107404_public.xml,a4ad6d3b99f2ebc5,phase2-2026-08-03.1
