foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
DZ Liebmann Fund 7428018,2021,DR TASHA VORDERSTRASSE ORIENTAL INST OF THE UNIV OF CHICAGO,1155 E 58TH ST,CHICAGO,IL,60637,4000,SCHOLARSHIP,990-PF,41.789553864111,-87.597816253187,sited
Edward E Ford Foundation Mfgr,2023,Morgan Park Academy,2153 W 111TH STREET,CHICAGO,IL,60643,100000,GENERAL,990-PF,41.691811253562,-87.67541203537,sited
Edward E Ford Foundation Mfgr,2023,Lycee Francais de Chicago,1929 W WILSON AVENUE,CHICAGO,IL,606405208,100000,GENERAL,990-PF,41.965070303436,-87.676926163119,sited
Edwin J Hoffritz TR UW Article Seventh,2021,ALZHEIMER'S DISEASE AND RELATED DISORDER,225 N MICHIGAN AVE 17TH FL,CHICAGO,IL,60601,40000,GENERAL,990-PF,41.886567067898,-87.624456678273,sited
Edwin J Hoffritz TR UW Article Seventh,2022,ALZHEIMER'S DISEASE AND RELATED DISORDER,225 N MICHIGAN AVE 17TH FL,CHICAGO,IL,60601,40000,GENERAL,990-PF,41.886567067898,-87.624456678273,sited
Edwin J Hoffritz TR UW Article Seventh,2023,ALZHEIMER'S DISEASE AND RELATED DISORDER,225 N MICHIGAN AVE 17TH FL,CHICAGO,IL,60601,55000,GENERAL CHARITABLE PURPOSES,990-PF,41.886567067898,-87.624456678273,sited
Edwin J Hoffritz TR UW Article Seventh,2024,ALZHEIMER'S DISEASE AND RELATED DISORDER,225 N MICHIGAN AVE 17TH FL,CHICAGO,IL,60601,55000,GENERAL CHARITABLE PURPOSES,990-PF,41.886567067898,-87.624456678273,sited
James and Brenda Grusecki Family Foundation,2021,826CHI,1276 N MILWAUKEE AVE,CHICAGO,IL,60622,20000,GENERAL SUPPORT,990-PF,41.904922726451,-87.669042058217,intermediary_or_citywide
James and Brenda Grusecki Family Foundation,2021,AMERICAN BLUES THEATRE,4809 N RAVENSWOOD,CHICAGO,IL,60640,5000,GENERAL SUPPORT,990-PF,41.969110848394,-87.67410548711,sited
James and Brenda Grusecki Family Foundation,2021,BREAKTHRU MINISTRIES,402 N ST LOUIS AVE,CHICAGO,IL,60624,30000,GENERAL SUPPORT,990-PF,41.888393473788,-87.713740407305,sited
James and Brenda Grusecki Family Foundation,2021,CATHOLIC CHARITIES,126 NORTH DESPLAINES,CHICAGO,IL,60661,45000,MORTGAGE & HOUSING,990-PF,41.883943007881,-87.644268806486,sited
James and Brenda Grusecki Family Foundation,2021,CHICAGO FOUNDATION FOR WOMEN,1 EAST UPPER WACKER DR,CHICAGO,IL,60601,30000,CATALYST FUND,990-PF,,,intermediary_or_citywide
James and Brenda Grusecki Family Foundation,2021,CHICAGO JESUIT ACADEMY,5058 W JACKSON BLVD,CHICAGO,IL,60644,25000,SCHOLARSHIP,990-PF,41.876756129341,-87.751718112042,sited
James and Brenda Grusecki Family Foundation,2021,CHICAGO SHAKESPEARE THEAT,800 EAST GRAND AVENUE,CHICAGO,IL,60611,25000,HUMANITIES,990-PF,41.892187438564,-87.609927254642,sited
James and Brenda Grusecki Family Foundation,2021,CHILDREN'S LITERACY INITIATIVE,641 WW LAKE ST,CHICAGO,IL,60661,20000,EDUCATION,990-PF,41.88563785021,-87.644465335155,sited
James and Brenda Grusecki Family Foundation,2021,CONNECTION FOR ABUSED WOMENCHILD,1116 N KEDZIE 5TH FLOOR,CHICAGO,IL,60651,5000,GENERAL SUPPORT,990-PF,41.901809739887,-87.706833683051,sited
James and Brenda Grusecki Family Foundation,2021,CROSSROADS FUND,3411 W DIVERSEY,CHICAGO,IL,60647,55000,GENERAL SUPPORT,990-PF,41.931906846099,-87.712837203673,sited
James and Brenda Grusecki Family Foundation,2021,DEBORAH'S PLACE,2822 W JACKSON,CHICAGO,IL,606123626,30000,GENERAL SUPPORT,990-PF,41.87748144593,-87.697018917698,sited
James and Brenda Grusecki Family Foundation,2021,FOREFRONT,208 S LA SALLE ST,CHICAGO,IL,60604,2088,GENERAL SUPPORT,990-PF,41.879132477534,-87.632361460549,intermediary_or_citywide
James and Brenda Grusecki Family Foundation,2021,GOLDEN APPLE FOUNDATION,8 SOUTH MICHIGAN AVE,CHICAGO,IL,606033463,35000,EDUCATION,990-PF,41.88205455908,-87.624550934438,intermediary_or_citywide
