foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
The Brinson Foundation,2024,1871 CHICAGOLAND ENTREPRENEURIAL CENTER,222 W MERCHANDISE MART PLAZA SUITE 1212,CHICAGO,IL,60654,35000,GENERAL OPERATING SUPPORT,990-PF,41.888045283034,-87.634338654764,sited
The Brinson Foundation,2024,826CHI,PO BOX 220868,CHICAGO,IL,60622,10000,GENERAL OPERATING SUPPORT,990-PF,,,intermediary_or_citywide
The Brinson Foundation,2024,A BETTER CHICAGO,200 W MADISON STREET 3RD FLOOR,CHICAGO,IL,60606,30000,GENERAL OPERATING SUPPORT,990-PF,41.881999441643,-87.633899204958,sited
The Brinson Foundation,2024,ADLER PLANETARIUM,1300 S DUSABLE LAKE SHORE DRIVE,CHICAGO,IL,60605,88000,COSMOLOGY AND ASTROPHYSICS RESEARCH AND PDTA,990-PF,,,intermediary_or_citywide
The Brinson Foundation,2024,ADVANCE ILLINOIS,303 E WACKER DRIVE SUITE 1925,CHICAGO,IL,60601,38000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.887748427515,-87.620522089915,sited
The Brinson Foundation,2024,AFTER SCHOOL MATTERS,66 E RANDOLPH STREET,CHICAGO,IL,60601,33000,STEM OUT-OF-SCHOOL TIME PROGRAMMING AND PDTA,990-PF,41.88455544074,-87.625548107337,sited
The Brinson Foundation,2024,AMERICA NEEDS YOU,111 N CANAL STREET SUITE 1200,CHICAGO,IL,60606,35000,GENERAL OPERATING SUPPORT - ILLINOIS,990-PF,41.884385930472,-87.639722542984,sited
The Brinson Foundation,2024,AMERICAN WRITERS MUSEUM,180 N MICHIGAN AVENUE,CHICAGO,IL,60601,28000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.885373782984,-87.624570287649,intermediary_or_citywide
The Brinson Foundation,2024,AMPT ADVANCING NONPROFITS,600 W CERMAK ROAD SUITE 2C,CHICAGO,IL,60616,25000,GENERAL OPERATING SUPPORT,990-PF,41.852757353697,-87.64268011057,sited
The Brinson Foundation,2024,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,225 E CHICAGO AVENUE BOX 4,CHICAGO,IL,60611,65000,NURSE EDUCATION AND LEADERSHIP TRAINING,990-PF,41.896693751301,-87.622923905467,intermediary_or_citywide
The Brinson Foundation,2024,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,225 E CHICAGO AVENUE BOX 4,CHICAGO,IL,60611,50000,CENTER FOR CHILDHOOD RESILIENCE,990-PF,41.896693751301,-87.622923905467,intermediary_or_citywide
The Brinson Foundation,2024,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,225 E CHICAGO AVENUE BOX 4,CHICAGO,IL,60611,100000,BRINSON MEDICAL RESEARCH FELLOWSHIP,990-PF,41.896693751301,-87.622923905467,intermediary_or_citywide
The Brinson Foundation,2024,ART INSTITUTE OF CHICAGO,111 S MICHIGAN AVENUE,CHICAGO,IL,60603,80000,GENERAL OPERATING SUPPORT,990-PF,41.880649213362,-87.624171570115,sited
The Brinson Foundation,2024,BOTTOM LINE,200 N LASALLE STREET SUITE 2175,CHICAGO,IL,60601,43000,GENERAL OPERATING SUPPORT - CHICAGO AND PDTA,990-PF,41.885796837609,-87.632526709602,sited
The Brinson Foundation,2024,CARA COLLECTIVE,237 S DESPLAINES STREET,CHICAGO,IL,60661,38000,GENERAL OPERATING SUPPORT - CHICAGO AND PDTA,990-PF,41.879011277991,-87.643957283452,sited
The Brinson Foundation,2024,CAROLE ROBERTSON CENTER FOR LEARNING,1111 S WESTERN AVENUE SUITE B,CHICAGO,IL,60612,38000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.86807167016,-87.686001358073,sited
The Brinson Foundation,2024,CHALKBEAT,303 E WACKER DRIVE,CHICAGO,IL,60601,5000,GENERAL OPERATING SUPPORT,990-PF,41.887748427515,-87.620522089915,sited
The Brinson Foundation,2024,CHICAGO ARCHITECTURE FOUNDATION CHICAGO ARCHITECTURE CENTER,111 E WACKER DRIVE SUITE 1321,CHICAGO,IL,60601,53000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.888139848632,-87.623818054576,sited
The Brinson Foundation,2024,CHICAGO ARCHITECTURE FOUNDATION CHICAGO ARCHITECTURE CENTER,111 E WACKER DRIVE SUITE 1321,CHICAGO,IL,60601,3800,DESIGNING FUTURES GALA 2024,990-PF,41.888139848632,-87.623818054576,sited
The Brinson Foundation,2024,CHICAGO COMMUNITY FOUNDATION CHICAGOLAND WORKFORCE FUNDER ALLIANCE,33 S STATE STREET SUITE 750,CHICAGO,IL,60603,25000,PROGRESSIVE PATHWAYS TO POSTSECONDARY SUCCESS FUND,990-PF,41.881652198165,-87.627682025192,intermediary_or_citywide
The Brinson Foundation,2024,CHICAGO COMMUNITY FOUNDATION PARTNERSHIP FOR SAFE AND PEACEFUL COMMUNITIES,33 S STATE STREET SUITE 750,CHICAGO,IL,60603,200000,SCALING COMMUNITY VIOLENCE INTERVENTION FOR A SAFER CHICAGO,990-PF,41.881652198165,-87.627682025192,intermediary_or_citywide
The Brinson Foundation,2024,CHICAGO COMMUNITY FOUNDATION PARTNERSHIP FOR SAFE AND PEACEFUL COMMUNITIES,33 S STATE STREET SUITE 750,CHICAGO,IL,60603,50000,YOUTH INTERVENTIONS,990-PF,41.881652198165,-87.627682025192,intermediary_or_citywide
The Brinson Foundation,2024,CHICAGO COUNCIL ON SCIENCE AND TECHNOLOGY,10 W 35TH STREET 10TH FLOOR,CHICAGO,IL,60616,33000,SCIENCE COMMUNICATION INTERNSHIP PROGRAM AND PDTA,990-PF,41.831067772341,-87.626815853448,sited
The Brinson Foundation,2024,CHICAGO HISTORICAL SOCIETY CHICAGO HISTORY MUSEUM,1601 N CLARK STREET,CHICAGO,IL,60614,63000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.91125225948,-87.631620549744,sited
The Brinson Foundation,2024,CHICAGO PARKS FOUNDATION,PO BOX 14147,CHICAGO,IL,60614,50000,PERENNIAL GARDEN MAINTENANCE,990-PF,,,intermediary_or_citywide
The Brinson Foundation,2024,CHICAGO PUBLIC EDUCATION FUND,200 W ADAMS STREET SUITE 1175,CHICAGO,IL,60606,50000,GENERAL OPERATING SUPPORT,990-PF,41.879443442077,-87.633831702154,intermediary_or_citywide
The Brinson Foundation,2024,CHICAGO PUBLIC LIBRARY FOUNDATION,200 W MADISON 3RD FLOOR,CHICAGO,IL,60606,50000,GENERAL OPERATING SUPPORT,990-PF,41.881999441643,-87.633899204958,intermediary_or_citywide
The Brinson Foundation,2024,CHICAGO SYMPHONY ORCHESTRA ASSOCIATION,220 S MICHIGAN AVENUE,CHICAGO,IL,60604,60900,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.879261225909,-87.624499386276,sited
The Brinson Foundation,2024,COMMUNITIES IN SCHOOLS OF CHICAGO,815 W VAN BUREN STREET SUITE 300,CHICAGO,IL,60607,50000,GENERAL OPERATING SUPPORT,990-PF,41.876603022207,-87.648075570713,sited
The Brinson Foundation,2024,DANIEL MURPHY SCHOLARSHIP FUND,309 W WASHINGTON STREET SUITE 700,CHICAGO,IL,60606,58000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.88314485014,-87.635526294391,intermediary_or_citywide
The Brinson Foundation,2024,ERIE FAMILY HEALTH FOUNDATION,1701 W SUPERIOR STREET 3RD FLOOR,CHICAGO,IL,60622,53000,TEEN HEALTH CENTER AND PDTA,990-PF,41.89505944276,-87.669771270814,sited
The Brinson Foundation,2024,FIELD MUSEUM OF NATURAL HISTORY,1400 S DUSABLE LAKE SHORE DRIVE,CHICAGO,IL,60605,83000,LEARNING CENTER PROGRAMS AND PDTA,990-PF,41.868263653882,-87.617866676914,intermediary_or_citywide
The Brinson Foundation,2024,FOREFRONT,C/O FBRK IMPACT HOUSE 200 W MADISON STREET 2ND FLOOR,CHICAGO,IL,60606,25000,GENERAL OPERATING SUPPORT,990-PF,,,intermediary_or_citywide
The Brinson Foundation,2024,GRIFFIN MUSEUM OF SCIENCE AND INDUSTRY,5700 S DUSABLE LAKE SHORE DRIVE,CHICAGO,IL,60637,83000,GENERAL SUPPORT AND PDTA,990-PF,,,intermediary_or_citywide
The Brinson Foundation,2024,HEALTHY SCHOOLS CAMPAIGN,190 S LASALLE STREET SUITE 1508,CHICAGO,IL,60603,48000,GENERAL OPERATING SUPPORT - CHICAGO AND PDTA,990-PF,41.879514148711,-87.63237315861,sited
The Brinson Foundation,2024,HIGH JUMP,820 W JACKSON BOULEVARD SUITE 310,CHICAGO,IL,60607,53000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.877994443118,-87.648073999333,sited
The Brinson Foundation,2024,INNER-CITY COMPUTER STARS FOUNDATION IC STARS,750 N ORLEANS STREET SUITE 500,CHICAGO,IL,60654,45000,GENERAL OPERATING SUPPORT,990-PF,41.896192434982,-87.637240456624,sited
The Brinson Foundation,2024,LA RABIDA CHILDREN'S HOSPITAL,6501 S PROMONTORY DRIVE,CHICAGO,IL,60649,82750,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.777612120017,-87.572055878947,intermediary_or_citywide
The Brinson Foundation,2024,LINCOLN PARK ZOOLOGICAL SOCIETY,2001 N CLARK STREET,CHICAGO,IL,60614,62800,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.91854925312,-87.636079895114,sited
The Brinson Foundation,2024,LITERACY WORKS,5401 W LAWRENCE AVENUE 30223,CHICAGO,IL,60630,43000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.967614063513,-87.762706069623,sited
The Brinson Foundation,2024,LYRIC OPERA OF CHICAGO,20 N WACKER DRIVE SUITE 860,CHICAGO,IL,60606,60000,GENERAL OPERATING SUPPORT,990-PF,41.882191369239,-87.637100009791,sited
The Brinson Foundation,2024,MATH CIRCLES OF CHICAGO,2907 S WABASH AVENUE SUITE 100B,CHICAGO,IL,60616,53000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.841853565387,-87.625155945256,sited
The Brinson Foundation,2024,MATH CULTURAL CENTER OF CHICAGO,1120 N LASALLE DRIVE APT 15P,CHICAGO,IL,60610,20000,GENERAL OPERATING SUPPORT,990-PF,41.902716757048,-87.633049706606,sited
The Brinson Foundation,2024,MERIT SCHOOL OF MUSIC,JOY FAITH KNAPP MUSIC CENTER 38 S PEORIA STREET,CHICAGO,IL,60607,33000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,,,intermediary_or_citywide
The Brinson Foundation,2024,METROSQUASH,6100 S COTTAGE GROVE AVENUE,CHICAGO,IL,60637,53000,GENERAL OPERATING SUPPORT AND PDTA,990-PF,41.783999944407,-87.606083349791,sited
The Brinson Foundation,2024,MIKVA CHALLENGE GRANT FOUNDATION,200 S MICHIGAN AVENUE SUITE 1000,CHICAGO,IL,60604,50000,CHICAGO CITYWIDE YOUTH COUNCILS,990-PF,41.879498661338,-87.624506074574,intermediary_or_citywide
