ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
680656415,The Brinson Foundation,202513179349102216,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,138,8480300.0,8480300.0,8480300.0,8480300.0,0.0,reconciled,row sum ties printed line-3a total within $1,72,3987100.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513179349102216_public.xml,e08ef460bdb11bef,tier1-2026-08-03.1
680656415,The Brinson Foundation,202423199349103057,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,128,106034700.0,106034700.0,106034700.0,106034700.0,0.0,reconciled,row sum ties printed line-3a total within $1,70,3489400.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423199349103057_public.xml,54676a7128b130fe,tier1-2026-08-03.1
680656415,The Brinson Foundation,202343199349100609,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,131,6063300.0,6063300.0,6063300.0,6063300.0,0.0,reconciled,row sum ties printed line-3a total within $1,76,3415533.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202343199349100609_public.xml,22646e074c3763fc,tier1-2026-08-03.1
821503941,Builders Initiative,202513009349100326,2024,990PF,2024v5.1,2024-01-01,2024-12-31,N,392,96630143.0,96630143.0,96806070.0,96630143.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=96,806,070 differs from paid rows by -175,927 (accrual/noncash/set-aside timing)",128,28753818.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513009349100326_public.xml,fedf45da2d286eb1,tier1-2026-08-03.1
821503941,Builders Initiative,202403199349103190,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,344,81706966.0,81706966.0,81706966.0,81706966.0,0.0,reconciled,row sum ties printed line-3a total within $1,116,21827212.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403199349103190_public.xml,08633d517922b74c,tier1-2026-08-03.1
821503941,Builders Initiative,202323159349100707,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,316,87986780.0,87986780.0,87986780.0,87986780.0,0.0,reconciled,row sum ties printed line-3a total within $1,120,30231773.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323159349100707_public.xml,d520d0c9fc7fd3f9,tier1-2026-08-03.1
363487811,Zell Family Foundation,202543049349100019,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,55,62988248.0,62988248.0,68596751.0,62988248.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=68,596,751 differs from paid rows by -5,608,503 (accrual/noncash/set-aside timing)",37,20478248.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543049349100019_public.xml,5603d92fb7bbc4c2,tier1-2026-08-03.1
363487811,Zell Family Foundation,202403199349100400,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,71,133136307.0,133136307.0,69322745.0,133136307.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=69,322,745 differs from paid rows by 63,813,562 (accrual/noncash/set-aside timing)",44,35662807.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403199349100400_public.xml,dd6e30d3e1386152,tier1-2026-08-03.1
363487811,Zell Family Foundation,202323199349106612,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,86,26879604.0,26879604.0,17434488.0,26879604.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=17,434,488 differs from paid rows by 9,445,116 (accrual/noncash/set-aside timing)",48,16374604.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323199349106612_public.xml,5521ab1137d603dd,tier1-2026-08-03.1
742364289,Alsam Foundation,202503099349101800,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,20,49056610.0,49056610.0,49056610.0,49056610.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503099349101800_public.xml,99c527f29d68085e,tier1-2026-08-03.1
742364289,Alsam Foundation,202413209349102061,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,28,66958358.0,66958358.0,66958358.0,66958358.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413209349102061_public.xml,d4f81acca2a64233,tier1-2026-08-03.1
742364289,Alsam Foundation,202323189349103397,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,31,38437514.0,38437514.0,38437514.0,38437514.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323189349103397_public.xml,5796c113c937ee46,tier1-2026-08-03.1
300039820,Pritzker Family Foundation,202533179349102598,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,288,54370925.0,54370925.0,54370925.0,54370925.0,0.0,reconciled,row sum ties printed line-3a total within $1,108,11115229.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533179349102598_public.xml,de8aef5db485d3cf,tier1-2026-08-03.1
300039820,Pritzker Family Foundation,202443179349102339,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,239,53708904.0,53708904.0,53708904.0,53708904.0,0.0,reconciled,row sum ties printed line-3a total within $1,80,11959133.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443179349102339_public.xml,2c1f6dd1e3341b8f,tier1-2026-08-03.1
300039820,Pritzker Family Foundation,202323199349101427,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,330,56740230.0,56740230.0,56740229.0,56670229.0,0.0,reconciled,row sum ties printed line-3a total within $1,86,11787301.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323199349101427_public.xml,5b45eb051731cfbd,tier1-2026-08-03.1
470732237,Fulk Family Foundation INC,202600689349100110,2024,990PF,2024v5.1,2024-08-01,2025-07-31,N,111,23500000.0,23500000.0,23500000.0,23500000.0,0.0,reconciled,row sum ties printed line-3a total within $1,29,8937500.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202600689349100110_public.xml,d4c81c3aa76bdd32,tier1-2026-08-03.1
470732237,Fulk Family Foundation INC,202530639349100028,2023,990PF,2023v6.0,2023-08-01,2024-07-31,N,132,24369265.0,24369265.0,24369265.0,24369265.0,0.0,reconciled,row sum ties printed line-3a total within $1,44,8270000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202530639349100028_public.xml,718eef118ccf3233,tier1-2026-08-03.1
470732237,Fulk Family Foundation INC,202400789349100700,2022,990PF,2022v5.0,2022-08-01,2023-07-31,N,172,42843589.0,42843589.0,42843589.0,42843589.0,0.0,reconciled,row sum ties printed line-3a total within $1,63,20994550.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202400789349100700_public.xml,a608eab2b50734d0,tier1-2026-08-03.1
364185939,Circle of Service Foundation,202533189349102913,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,637,37027088.0,37027088.0,36016906.0,37027087.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=36,016,906 differs from paid rows by 1,010,182 (accrual/noncash/set-aside timing)",315,18999847.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533189349102913_public.xml,e59fd653fd0708aa,tier1-2026-08-03.1
364185939,Circle of Service Foundation,202433199349102998,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,611,38657147.0,38657147.0,40437770.0,38657147.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=40,437,770 differs from paid rows by -1,780,623 (accrual/noncash/set-aside timing)",307,21783433.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202433199349102998_public.xml,cb75f7ec5d39dedb,tier1-2026-08-03.1
364185939,Circle of Service Foundation,202323149349101322,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,547,34950181.0,34950181.0,31065347.0,34950181.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=31,065,347 differs from paid rows by 3,884,834 (accrual/noncash/set-aside timing)",273,19426128.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323149349101322_public.xml,ba257fc7fd082825,tier1-2026-08-03.1
366058062,Pritzker Foundation,202533099349102358,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,1,32134133.0,32134133.0,32134133.0,32134133.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533099349102358_public.xml,0ceac4e536fc3c67,tier1-2026-08-03.1
366058062,Pritzker Foundation,202443189349100829,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,1,34483333.0,34483333.0,34483333.0,34483333.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443189349100829_public.xml,d757a98105d3632b,tier1-2026-08-03.1
366058062,Pritzker Foundation,202343199349103854,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,1,31594379.0,31594379.0,31594379.0,31594379.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202343199349103854_public.xml,8c6f73702745cb7b,tier1-2026-08-03.1
