program,activity_id,activity_name,address,funding_amount,national_objective,activity_group,status_text,completion_date,lat,lng
cdbg,173,ED Direct: Financial Assistance to For-Profit Businesses,"20 N Clark St Ste 2800, Chicago, IL 60602",3655177.12,,Economic Development,,2003-05-31,41.882525,-87.631107
cdbg,176,Rehabilitation: Publicly or Privately Owned Commercial/Industrial,"20 N Clark St Ste 2800, Chicago, IL 60602",298179.97,,Economic Development,,2002-08-16,41.882525,-87.631107
cdbg,184,Health Services,"200 E 115th St, Chicago, IL 60628",1638911.44,,Public Services,,1999-02-16,41.685538,-87.618054
cdbg,185,Health Services,"845 W Wilson Ave, Chicago, IL 60640",1976164.32,,Public Services,,1999-12-20,41.965344,-87.651702
cdbg,186,Health Services,"4230 S Greenwood Ave, 10 S. KEDZIE, CHICAGO ILLINOIS, Chicago, IL 60653",1117338.61,,Public Services,,2001-01-24,41.817433,-87.599556
cdbg,191,Senior Services,"510 N Peshtigo Ct, Chicago, IL 60611",466850.72,,Public Services,,1999-03-03,41.891128,-87.615396
cdbg,193,Services for The Disabled,"121 N La Salle St, MOPD RM 1104, Chicago, IL 60602",3750.00,,Public Services,,2005-12-30,41.883612,-87.632145
cdbg,194,Services for The Disabled,"2102 W Ogden Ave, MOPD FIELD OFFICE, Chicago, IL 60612",840730.86,,Public Services,,2001-04-06,41.871249,-87.678593
cdbg,196,Services for The Disabled,"2102 W Ogden Ave, MOPD FIELD OFFICE, Chicago, IL 60612",75274.91,,Public Services,,2002-02-14,41.871249,-87.678593
cdbg,198,"Other Public Services Not Listed in 05A-05Y, 03T","510 N Peshtigo Ct, Chicago, IL 60611",2898203.84,,Public Services,,2000-12-30,41.891128,-87.615396
cdbg,200,Child Care Services,"1615 W Chicago Ave, Chicago, IL 60622",4005000.00,,Public Services,,2000-12-30,41.89594,-87.667828
cdbg,201,Youth Services,"1615 W Chicago Ave, Chicago, IL 60622",263255.70,,Public Services,,2004-03-18,41.89594,-87.667828
cdbg,208,Sidewalks,"30 N La Salle St, Chicago, IL 60602",1564269.25,,Public Improvements,,2000-11-06,41.882676,-87.632594
cdbg,209,Sidewalks,"30 N La Salle St Ste 200, Chicago, IL 60602",2736652.13,,Public Improvements,,2000-02-26,41.882676,-87.632594
cdbg,211,ED Direct: Financial Assistance to For-Profit Businesses,"20 N Clark St, SUITE 2800, Chicago, IL 60602",217087.80,,Economic Development,,2001-02-28,41.882525,-87.631107
cdbg,213,Other Commercial/Industrial Improvements,"20 N Clark St Ste 2800, Chicago, IL 60602",67405.28,,Economic Development,,1999-08-11,41.882525,-87.631107
cdbg,218,Commercial/Industrial Infrastructure Development,"20 N Clark St Ste 2800, Chicago, IL 60602",170288.18,,Economic Development,,2002-08-20,41.882525,-87.631107
cdbg,220,Other Commercial/Industrial Improvements,"20 N Clark St Ste 2800, Chicago, IL 60602",1068795.69,,Economic Development,,2004-12-31,41.882525,-87.631107
cdbg,230,Rehabilitation: Multi-Unit Residential,"318 S Michigan Ave, CHICAGO, ILLINOIS 60604, Chicago, IL 60604",750000.00,,Housing,,2002-08-22,41.878051,-87.624603
cdbg,288,Employment Training,"7949 S Western Ave, Chicago, IL 60620",55080.00,,Public Services,,1998-12-30,41.748767,-87.682515
cdbg,290,Employment Training,"4753 N Broadway St Ste 632, Chicago, IL 60640",18850.00,,Public Services,,2001-03-12,41.968667,-87.659362
cdbg,292,Employment Training,"3834 N Cicero Ave, Chicago, IL 60641",90275.00,,Public Services,,1998-12-30,41.950726,-87.747496
cdbg,294,Employment Training,"5252 N Broadway St, Chicago, IL 60640",33245.00,,Public Services,,2000-02-10,41.977217,-87.660144
cdbg,295,Employment Training,"5082 W Jackson Blvd, Chicago, IL 60644",35000.00,,Public Services,,1998-12-30,41.876878,-87.752574
cdbg,297,Employment Training,"50 E 41st St, Chicago, IL 60653",80000.00,,Public Services,,1998-12-30,41.820309,-87.624653
cdbg,299,Employment Training,"4750 N Sheridan Rd, Chicago, IL 60640",30025.00,,Public Services,,1998-12-30,41.968486,-87.655064
cdbg,301,Employment Training,"1 S Franklin St, Chicago, IL 60606",46530.00,,Public Services,,1998-12-30,41.881795,-87.635093
cdbg,303,Employment Training,"4300 N California Ave, Chicago, IL 60618",30000.00,,Public Services,,1998-12-30,41.959447,-87.698613
cdbg,304,Employment Training,"4909 W Division St, Chicago, IL 60651",60000.00,,Public Services,,1998-12-30,41.902184,-87.748645
