legal_business_name,dba,county,city,zip,award_amount_usd,source_url,source_version,program_name,funding_source,assistance_type,award_status,record_note
"BUNCH FAMILY ENTERPRISES, INC.",CHOMPZ,Adams,QUINCY,62301,80000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
"D2G HOLDINGS, LLC",NATIVE GRILL AND WINGS,Adams,QUINCY,62301,70000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
"FOR HOME & HER, LLC",,Adams,QUINCY,62301,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
"GEM CITY DEVELOPERS, L.L.C.",MICROTEL INN AND SUITES BY WYNDHAM,Adams,QUINCY,62301,45000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
HOWELL AND HART ENTERPRISES LLC,DRAKES STEAK & ALE,Adams,QUINCY,62301,135000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
JALEE'S BAKEHAUS LLC,THE VENUE QUINCY,Adams,QUINCY,62301,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
MUDDY RIVER OPERA COMPANY,,Adams,QUINCY,62301,5000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
QUINCY SYMPHONY ORCHESTRA,QUINCY SYMPHONY ORCHESTRA ASSOCIATION,Adams,QUINCY,62301,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
SPI-ROLLS,SPI-ROLLS,Adams,QUINCY,62301,15000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
"TRACY HOLDINGS, LLC",QUALITY INN & SUITES,Adams,QUINCY,62301,5000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/b2bawards.pdf,2022-07-26,Illinois Back to Business (B2B) Grant Program,American Rescue Plan Act (ARPA),grant,historical_award,Historical ARPA-funded grant award; not an active opportunity or a promise of future funding.
