source_row_number,legal_business_name,dba,city,county,zip,grant_amount_usd,round,source_url,source_version,program_name,relief_era,assistance_type,program_status,record_note
1,3 Branches Inc.,3 Branches Studio,Quincy,Adams,62301,10000,Round 1,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
2,Blue Lotus Boutique Inc,Blue Lotus Boutique,Quincy,Adams,62301,10000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
3,Bunch Family Enterprises Inc,Zoup,Quincy,Adams,62301,5000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
4,"Bunch Family Enterprises, Inc.",Zoup,Quincy,Adams,62301,20000,Round 1,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
5,Chuckies Inc,The Dock,Quincy,Adams,62301,25000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
6,Dbâ² Events,,Quincy,Adams,62301,5000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
7,"Gem City Gymnastics & Tumbling, LLC","Gem City Gymnastics & Tumbling, LLC",Quincy,Adams,62301,20000,Round 1,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
8,GEMSBB3 LLC,Quincy Gems Baseball,Quincy,Adams,62301,145000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
9,Historical Society of Quincy & Adams County,,Quincy,Adams,62301,25000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
10,I Do Bridal,Brittney Meyer Dba I Do 2,Quincy,Adams,62301,5000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
11,International Travel Associates Inc,Travel House of Quincy,Quincy,Adams,62301,110000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
12,J Js Catering LLC,,Quincy,Adams,62301,130000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
13,Kristopher's Hair Studio Inc,Kristopher's Hair Studio,Quincy,Adams,62301,10000,Round 1,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
14,Qdance Inc,Qdance,Quincy,Adams,62301,5000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
15,Quincy Art Center,Quincy Art Center,Quincy,Adams,62301,30000,Round 2,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/bigawardsall.pdf,2021-04-09,Illinois Business Interruption Grant (BIG) Program,CARES Act (2020),grant,historical_closed,Historical CARES Act-funded grant award from a closed program.
