legal_business_name,dba,published_municipality,county,historical_grant_amount_usd,source_url,source_version,source_status,source_precision,program_name,assistance_type,award_status,program_status,record_note
1659 INC,Caminos de Michoacan,Chicago,Cook,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
4 T's Inc dba The Corner Pub,The Corner Pub,Valmeyer,Monroe,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
59 north the Oasis Cafe corporation,Cairo Ale House,West Chicago,DuPage,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
750 Cucina Rustica,,Cary,McHenry,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
A.Sweets Girl LLC,A.Sweets Girl,Chicago,Cook,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Aanya Hospitality LLC,Ramada Inn,Bolingbrook,Will,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Abbeyfeale Inc Tin Whistle Pub,The Tin Whistle Pub,Chicago,Cook,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
AHRVT3 INC DBA. HARVEST RESTAURANT,Harvest Restaurant,PECATONICA,Winnebago,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
"Arlandria, LLC",,Bloomington,McLean,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
"AZTCA Mexican Grill, LLC",,Springfield,Sangamon,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
"BAM Ventures, Inc.",Sophie's,Crete,Will,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Briargate Hotel Corporation,,Galena,Jo Daviess,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
BUCKS HOSPITALITY INC,,Bolingbrook,Will,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
CASA MIA LOUNGE & RESTAURANT,,NAPLATE,La Salle,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Chai and Mom Corporation,,Chicago,Cook,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
