"record_id","recipient","amount_usd","grant_type","award_year","recipient_url","source_note","source_url","source_checked_at"
"impact-grants-2021-beloved-community-family-wellness-center-merit","Beloved Community Family Wellness Center","20000","Merit Grant","2021","http://www.bcfwc.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2022-casa-of-cook-county-impact","CASA of Cook County","100000","Impact Grant","2022","http://casacookcounty.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2024-care-for-real-merit","Care for Real","25000","Merit Grant","2024","https://careforreal.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2019-center-for-conflict-resolution-impact","Center for Conflict Resolution","100000","Impact Grant","2019","http://www.ccrchicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2026-center-for-disability-and-elder-law-merit","Center for Disability and Elder Law","40000","Merit Grant","2026","https://www.cdelaw.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2026-centro-romero-impact","Centro Romero","100000","Impact Grant","2026","https://centroromero.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2026-chicago-debates-merit","Chicago Debates","40000","Merit Grant","2026","https://chicagodebates.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2022-chicago-furniture-bank-impact","Chicago Furniture Bank","100000","Impact Grant","2022","http://www.chicagofurniturebank.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2021-chicago-survivors-impact","Chicago Survivors","100000","Impact Grant","2021","http://www.chicagosurvivors.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2021-chicago-youth-programs-impact","Chicago Youth Programs","100000","Impact Grant","2021","http://www.chicagoyouthprograms.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2018-children-s-research-triangle-merit","Children’s Research Triangle","17500","Merit Grant","2018","http://www.childrensresearchtriangle.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2026-children-s-research-triangle-impact","Children’s Research Triangle","100000","Impact Grant","2026","http://www.childrensresearchtriangle.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2022-common-pantry-impact","Common Pantry","100000","Impact Grant","2022","http://www.commonpantry.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2018-communities-in-schools-of-chicago-impact","Communities In Schools of Chicago","100000","Impact Grant","2018","http://www.cisofchicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2020-connections-for-abused-women-and-their-children-impact","Connections for Abused Women and Their Children","100000","Impact Grant","2020","http://www.cawc.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2024-connections-for-abused-women-and-their-children-impact","Connections for Abused Women and Their Children","100000","Impact Grant","2024","http://www.cawc.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2025-crushers-club-impact","Crushers Club","100000","Impact Grant","2025","https://www.crushersclub.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2021-deborah-s-place-impact","Deborah’s Place","100000","Impact Grant","2021","http://www.deborahsplace.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2020-el-hogar-del-nino-impact","El Hogar Del Niño","100000","Impact Grant","2020","http://www.elhogardelnino.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2025-esperanza-merit","Esperanza","30000","Merit Grant","2025","https://esperanzacommunity.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2019-facing-forward-to-end-homelessness-impact","Facing Forward to End Homelessness","100000","Impact Grant","2019","http://www.ffchicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2024-franciscan-outreach-merit","Franciscan Outreach","25000","Merit Grant","2024","https://franoutreach.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2023-friends-of-the-children-chicago-impact","Friends of the Children – Chicago","100000","Impact Grant","2023","https://friendschicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2019-garfield-park-conservatory-alliance-impact","Garfield Park Conservatory Alliance","100000","Impact Grant","2019","http://www.garfieldconservatory.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2024-greater-chicago-legal-clinic-merit","Greater Chicago Legal Clinic","25000","Merit Grant","2024","https://www.gclclaw.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2019-growing-home-impact","Growing Home","100000","Impact Grant","2019","http://www.growinghomeinc.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
