hud_id,project_name,address,zip,units_total,units_low_income,annual_allocated_amount,allocation_year,placed_in_service_year,lat,lng,coord_source
ILA00000053,ENGLEWOOD APTS,901 W 63RD ST,60621,99,99,9107089,8888,8888,41.779578,-87.647202,hud_source
ILA00000057,HOLLYWOOD HOUSE,5700 N SHERIDAN RD,60660,197,177,872003,8888,8888,41.985823,-87.655475,hud_source
ILA00000064,LORINGTON APTS PRESERVATION,3126 W PALMER BLVD,60647,54,54,437429,8888,8888,41.921637,-87.706679,hud_source
ILA00000087,SANKOFA HOUSE,3824 W 16TH ST,60623,58,58,4760552,8888,8888,41.859083,-87.720876,hud_source
ILA00000113,LAWNDALE PLAZA,3158 W ROOSEVELT RD,60612,198,198,2840062,2010,9999,41.866603,-87.704893,hud_source
ILA00000114,PARKVIEW TOWERS APTS,5110 S KING DR,60615,102,102,1010628,2008,9999,41.801699,-87.616395,hud_source
ILA19870006,AUSTIN RENAISSANCE,5113 W WASHINGTON BLVD,60644,71,71,99644,1987,1987,41.881558,-87.75312,hud_source
ILA19870012,HAZEL-WINTHROP,4927 N KENMORE AVE,60640,30,30,21041,1987,1987,41.972006,-87.656094,hud_source
ILA19870013,MERRILL COURT APTS,7201 S MERRILL AVE,60649,40,40,76160,2011,1987,41.764392,-87.572341,hud_source
ILA19870019,ROCKWELL APTS,2500 N ROCKWELL ST,60647,10,10,10141,1987,1987,41.926687,-87.692791,hud_source
ILA19880028,4142 NORTH KENMORE,4142 N KENMORE AVE,60613,21,21,15466,1988,1988,41.957698,-87.656429,hud_source
ILA19880029,4723 NORTH RACINE,4723 N RACINE AVE,60640,42,42,29133,1988,1988,41.967571,-87.659424,hud_source
ILA19880035,CONCORDIA PARK APTS,13037 S DANIEL DR,60827,297,297,378531,1988,1988,41.658476,-87.615317,hud_source
ILA19880039,DIVERSEY SQUARE,3212 W DIVERSEY AVE,60647,48,48,273373,1988,1988,41.932209,-87.707868,hud_source
ILA19880042,HICA REDEVELOPMENT,5042 W WASHINGTON BLVD,60644,120,120,217990,1988,1988,41.881913,-87.751346,hud_source
ILA19880043,JEFFREY APTS,7130 S JEFFERY BLVD,60649,150,150,92557,1988,1988,41.76513,-87.576501,hud_source
ILA19880052,LAVERGNE COURTS,4938 W QUINCY ST,60644,158,158,1015508,1988,1988,41.877827,-87.748211,hud_source
ILA19880071,VICTORY APTS,2705 W EVERGREEN AVE,60622,13,13,93219,1988,1988,41.905532,-87.694576,hud_source
ILA19880075,WASHINGTON COURTS APTS,4938 W QUINCY ST,60644,22,22,138693,1988,1988,41.877827,-87.748211,hud_source
ILA19880076,WEST TOWN HOUSING PROJECT,1754 N WASHTENAW AVE,60647,178,178,1839969,1988,1988,41.913693,-87.694832,hud_source
ILA19880077,WHITMORE APTS,421 S CENTRAL AVE,60644,54,54,246560,1988,1988,41.874095,-87.76438,hud_source
ILA19890085,301-11 S CENTRAL PARK,301 S CENTRAL AVE,60644,23,23,47747,1989,1989,41.87655,-87.764521,hud_source
ILA19890088,3502-08 W VAN BUREN,3502 W VAN BUREN ST,60624,13,13,25070,1989,1989,41.875602,-87.713053,hud_source
ILA19890091,BOULEVARD COMMONS II,149 N CENTRAL AVE,60644,19,19,104195,1989,1989,41.883224,-87.764699,hud_source
ILA19890092,BOULEVARD COMMONS IIA,151 S CENTRAL AVE,60644,42,42,219048,1989,1989,41.878184,-87.764533,hud_source
ILA19890100,COLUMBUS PARK APTS,301 S CENTRAL AVE,60644,39,39,63136,1989,1989,41.87655,-87.764521,hud_source
ILA19890121,MICHIGAN BEACH APTS,7251 S STH SHR DR,60649,239,239,480000,1989,1989,41.764461,-87.56098,hud_source
ILA19890125,N&M LUNT WOLCOTT,7001 N WOLCOTT AVE,60626,8,8,56598,1989,1989,42.008972,-87.677849,hud_source
ILA19890140,UJAAMA,7655 N BOSWORTH AVE,60626,19,19,34010,1989,1989,42.020336,-87.669297,hud_source
ILA19900005,46TH & VINCENNES,444 E 46TH ST,60653,28,28,149644,1990,1990,41.811394,-87.614702,hud_source
ILA19910181,11238-42 S VERNON,11238 S VERNON AVE,60628,18,18,38036,1991,1991,41.689928,-87.612291,hud_source
ILA19910182,2326 E 71ST STREET,2326 E 71ST ST,60649,9,9,,1991,1991,41.766476,-87.568359,hud_source
ILA19910183,4750-58 MICHIGAN,4650 S MICHIGAN AVE,60653,25,25,10889,1991,1991,41.810254,-87.62308,hud_source
