project_id_or_row,cde_name,project_qlici_amount,estimated_total_project_cost,year,purpose_text,city,state,zip_or_tract,zip_or_tract_type,lat,lng,coord_status,census_tract_2020,tract_centroid_lat,tract_centroid_lng,community_area_source
IL0012,Chase Community Development Corporation,9500000,9500000,2010,Other Financing Purpose,Chicago,Illinois,60602,zip,,,missing_no_street_address_in_source,17031839100,41.8809857,-87.6330703,2020_tract_centroid_pip
IL0013,"Urban Development Fund, LLC",3200000,4764425,2007,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031491000,41.6997625,-87.6280536,2020_tract_centroid_pip
IL0014,Chicago Development Fund,5880000,6697472,2009,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031500200,41.7008552,-87.6003086,2020_tract_centroid_pip
IL0015,"National New Markets Tax Credit Fund, Inc.",820000,2100000,2009,Business Financing,Chicago,Illinois,60607,zip,,,missing_no_street_address_in_source,17031833300,41.8716945,-87.6541237,2020_tract_centroid_pip
IL0018,"Advantage Capital Community Development Fund, LLC",2000000,2000000,2010,Business Financing,Chicago,Illinois,60619,zip,,,missing_no_street_address_in_source,17031470100,41.7282207,-87.5964894,2020_tract_centroid_pip
IL0019,IFF,810000,850000,2004,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60643,zip,,,missing_no_street_address_in_source,17031750100,41.6958345,-87.6520283,2020_tract_centroid_pip
IL0022,Community Reinvestment Fund New Markets I LP,2500000,11600000,2007,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60609,zip,,,missing_no_street_address_in_source,17031842600,41.8162186,-87.6516951,2020_tract_centroid_pip
IL0023,Chicago Development Fund,4802000,4802000,2010,Business Financing,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031292500,41.8551613,-87.7322428,2020_tract_centroid_pip
IL0024,IFF,852948,1000000,2007,Other Financing Purpose,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031280400,41.8860094,-87.6718846,2020_tract_centroid_pip
IL0025,Chase New Markets Corporation,3948000,6436000,2009,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031310800,41.8559337,-87.6685737,2020_tract_centroid_pip
IL0026,IFF,595034,603296,2006,Other Financing Purpose,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031310800,41.8559337,-87.6685737,2020_tract_centroid_pip
IL0028,Community Reinvestment Fund New Markets I LP,1036458,3271547,2010,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60618,zip,,,missing_no_street_address_in_source,17031160800,41.9502131,-87.7128146,2020_tract_centroid_pip
IL0029,Great Lakes Region Sustainability Funds LLC,1201892,1891298,2007,Business Financing,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031840700,41.8529302,-87.6942666,2020_tract_centroid_pip
IL0030,"Community Revitalization Fund, Inc.",903039,903039,2005,Business Financing,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031301100,41.847029,-87.6979734,2020_tract_centroid_pip
IL0031,Great Lakes Region Sustainability Funds LLC,8494848,10157838,2007,Business Financing,Chicago,Illinois,60641,zip,,,missing_no_street_address_in_source,17031210501,41.9374013,-87.7223301,2020_tract_centroid_pip
IL0032,"National City New Market Fund, Inc.",4875000,9923496,2008,Other Financing Purpose,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031843000,41.8679365,-87.7227489,2020_tract_centroid_pip
IL0033,IFF,356250,378000,2005,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60647,zip,,,missing_no_street_address_in_source,17031230800,41.9058396,-87.714953,2020_tract_centroid_pip
IL0034,Local Initiatives Support Corporation,7368924.5599999996,7412134,2006,Real Estate–Rehabilitation–Commercial; Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60609,zip,,,missing_no_street_address_in_source,17031351400,41.8274019,-87.6240909,2020_tract_centroid_pip
IL0036,Chase New Markets Corporation,840000,1050000,2008,Business Financing,Chicago,Illinois,60617,zip,,,missing_no_street_address_in_source,17031520500,41.6931158,-87.5308719,2020_tract_centroid_pip
IL0037,"Bethel New Life, Inc",156291,1191482,2005,Real Estate – Construction–Housing-Single Family,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031260100,41.8843707,-87.7233302,2020_tract_centroid_pip
IL0038,"Advantage Capital Community Development Fund, LLC",12340000,28192586,2009,Business Financing,Chicago,Illinois,60609,zip,,,missing_no_street_address_in_source,17031839900,41.8273459,-87.648454,2020_tract_centroid_pip
IL0039,"Bethel New Life, Inc",37653.279999999999,455000,2006,Real Estate – Construction–Housing-Multi Family,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031260100,41.8843707,-87.7233302,2020_tract_centroid_pip
IL0040,"Bethel New Life, Inc",468644,2103881,2008,Real Estate – Construction–Housing-Single Family,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031290900,41.8624103,-87.7324567,2020_tract_centroid_pip
IL0041,"Bethel New Life, Inc",756000,2106840,2008,Real Estate – Construction–Housing-Multi Family,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031260100,41.8843707,-87.7233302,2020_tract_centroid_pip
IL0042,Citibank NMTC Corporation,13500000,14426007,2008,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60618,zip,,,missing_no_street_address_in_source,17031210501,41.9374013,-87.7223301,2020_tract_centroid_pip
IL0043,Community Reinvestment Fund New Markets I LP,894054,1693000,2009,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60618,zip,,,missing_no_street_address_in_source,17031210501,41.9374013,-87.7223301,2020_tract_centroid_pip
IL0044,"Bethel New Life, Inc",1349885,5049885,2005,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031260200,41.8843243,-87.7282302,2020_tract_centroid_pip
IL0045,"Bethel New Life, Inc",623000,623000,2006,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031260200,41.8843243,-87.7282302,2020_tract_centroid_pip
IL0046,"Bethel New Life, Inc",250000,400000,2009,Business Financing,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031260200,41.8843243,-87.7282302,2020_tract_centroid_pip
IL0047,IFF,153807.84,154000,2007,Other Financing Purpose,Chicago,Illinois,60639,zip,,,missing_no_street_address_in_source,17031831200,41.9153214,-87.73226,2020_tract_centroid_pip
IL0048,"Advantage Capital Community Development Fund, LLC",7850000,7850000,2010,Business Financing,Chicago,Illinois,60632,zip,,,missing_no_street_address_in_source,17031570200,41.8143799,-87.7307183,2020_tract_centroid_pip
