record_id,program_name,program_slug,funding_law,assistance_type,program_state,opportunity_status,amount_context,sba_loan_number,approval_date,source_approval_date,legal_business_name,source_business_name,dba_trade_name,franchise_name,published_street_address,published_city,published_state,published_zip,location_precision,grant_amount_usd,rural_urban_indicator,hubzone_indicator,congressional_district,grant_purp_cons_outdoor_seating,grant_purpose_covered_supplier,grant_purpose_debt,grant_purpose_food,grant_purpose_maintenance_indoor,grant_purpose_operations,grant_purpose_payroll,grant_purpose_rent,grant_purpose_supplies,grant_purpose_utility,legal_organization_type,lmi_indicator,socioeconomic_indicator,veteran_indicator,women_owned_indicator,restaurant_type,source_url,source_download_url,source_version
sba-rrf-1036429110,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1036429110,2021-06-17,06/17/2021,KB V LLC,KB V LLC,,,852 W Fulton Market St,Chicago,IL,60607,published_street_address_ungeocoded,819728.20,U,N,IL-07,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,N,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-1036479103,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1036479103,2021-06-17,06/17/2021,111 W Hubbard Partnership,111 W Hubbard Partnership,,,111 W Hubbard St,Chicago,IL,60654,published_street_address_ungeocoded,3561150.00,U,N,IL-07,N,N,N,Y,Y,Y,Y,Y,Y,Y,Limited Liability Partnership,N,N,N,N,"Restaurant && Bar, Saloon, Lounge, Tavern",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-1036689107,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1036689107,2021-06-17,06/17/2021,Burger Empire LLC,Burger Empire LLC,,,1120 W Taylor St,Chicago,IL,60607,published_street_address_ungeocoded,34361.68,U,Y,IL-07,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,N,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-1036749101,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1036749101,2021-06-17,06/17/2021,Honey Butter Fried Chicken LLC,Honey Butter Fried Chicken LLC,,,3361 N Elston Ave,Chicago,IL,60618,published_street_address_ungeocoded,1041435.87,U,N,IL-04,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,N,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-1037359104,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1037359104,2021-06-17,06/17/2021,CuencaII LLC,CuencaII LLC,,,2800 W Foster Ave,Chicago,IL,60625,published_street_address_ungeocoded,175323.88,U,N,IL-04,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Partnership,N,N,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-1038259100,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1038259100,2021-06-17,06/17/2021,Jump Higher LLC,Jump Higher LLC,,,1647 W Fulton St Ste 2,Chicago,IL,60612,published_street_address_ungeocoded,5896384.05,U,Y,IL-05,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),Y,N,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-1038899104,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1038899104,2021-06-17,06/17/2021,Fat Fish Bar & Grill Inc,Fat Fish Bar & Grill Inc,,,234 W 31st St,Chicago,IL,60616,published_street_address_ungeocoded,184983.00,U,Y,IL-01,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Corporation,N,N,N,N,"Restaurant && Bar, Saloon, Lounge, Tavern",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-1040009105,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1040009105,2021-06-17,06/17/2021,Erro Inc,Erro Inc,,,2933 W Montrose Ave,Chicago,IL,60618,published_street_address_ungeocoded,61871.50,U,N,IL-04,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,N,N,N,"Bar, Saloon, Lounge, Tavern",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-1040209106,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1040209106,2021-06-17,06/17/2021,EN HAKKORE DAMEN INC,EN HAKKORE DAMEN INC,,,1840 N DAMEN AVE,CHICAGO,IL,60647,published_street_address_ungeocoded,223585.00,U,N,IL-04,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Professional Association,N,N,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-1040299100,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,1040299100,2021-06-17,06/17/2021,M2 Dining Inc.,M2 Dining Inc.,,,3441 N Halsted St,Chicago,IL,60657,published_street_address_ungeocoded,26354.00,U,N,IL-04,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Corporation,N,N,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
