csfa_number,program_name,agency,record_type,award_id,grantee_name,award_amount,award_amount_raw,award_start_date,award_end_date,award_period,grantee_location,fiscal_year,chicago_likely,chicago_signal,amount_meaning,source,source_url
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751005,Champaign County Convention and Visitors Bureau,1662799.0,"1,662,799",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751038,Chicago s North Shore Convention & Visitors Bureau,2674187.0,"2,674,187",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,chicago_token_but_non_city_place:north shore,award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751044,DeKalb County Convention and Visitors Bureau,306752.0,"306,752",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751032,DuPage Convention & Visitors Bureau,3897098.0,"3,897,098",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751010,Elgin Area Cnvtn & Vistrs Bur,614285.0,"614,285",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751001,Great Rivers & Routes Tourism Bureau,1490292.0,"1,490,292",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751031,Greater Woodfield Convention & Visitors Bureau Inc,3218007.0,"3,218,007",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751041,Henry County Tourism Council,108976.0,"108,976",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751020,Peoria Area Convention and Visitors Bureau,1924778.0,"1,924,778",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751021,Quad Cities Convention and Visitors Bureau,744398.0,"744,398",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751037,Visit Oak Park Area Convention and Visitors Bureau,1295628.0,"1,295,628",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
420-25-1606,Local Tourism and Convention Bureau Program,DCEO (420),award,25-751030,Williamson County Tourism Bureau,468932.0,"468,932",07/01/2024,12/31/2026,07/01/2024 - 12/31/2026,,2027,false,no_chicago_name_signal(address_not_published),award_agreement_amount (NOT amount paid or received by grantee),CSFA_AwardList,https://omb.illinois.gov/PUBLIC/GATA/CSFA/AwardList.aspx?CSFA=1606
