dataset,project_name,recipient_or_developer,address,tif_district,ward_or_area,authorized_tif_assistance,city_reported_expenditure,total_project_cost,announced_private_leverage,approval_or_report_year,status_text,lat,lng,source_row_id
rda-iga,Thai Town Center TIF,,4461 N Pulaski Rd,Lawrence/Pulaski,Ward 33 - Albany Park,1506306,,3365730,,2011,CDC approved 2011-04-13,41.9627399833,-87.7277287223,rda-iga:1001:0
rda-iga,PAUL G. STEWART APARTMENTS/ CHARLES A BECKETT ASSO,,400 E 41st St,Pershing/King,Ward 3 - Grand Boulevard,958547,,59540013,,2009,CDC approved 2009-04-22,41.8203495003,-87.6165141095,rda-iga:1005:1
rda-iga,Chatham Market,"W2005 CMK Realty, L.L.C.",8300 S Stewart Av,83rd/Stewart,Ward 21 - Auburn Gresham,26100000,,81933000,,1998,CDC approved 1998-09-09,41.7433981579,-87.6342517745,rda-iga:1009:2
rda-iga,Black Ensemble Theater,Black Ensemble Theater Corp.,4440 N Clark St,Clark/Montrose,Ward 47 - Uptown,6000000,,13500000,,2006,CDC approved 2006-02-08; COC issued 2012-09-18,41.9628344415,-87.666363307,rda-iga:1013:3
rda-iga,Marquette Village,,2601 W 74th St,Greater Southwest Industrial (East),Ward 18 - Chicago Lawn,6093318,,39560642,,2006,CDC approved 2006-07-11,41.7591229979,-87.6880475497,rda-iga:1015:4
rda-iga,Hellenic Museum,United Hellenic American Congress,333 S Halsted St,Near West,Ward 34 - Near West Side,3500000,,15266333,,2002,CDC approved 2002-02-06; COC issued 2013-12-27,41.8769533772,-87.6470634645,rda-iga:1017:5
rda-iga,Renaissance Place Apartments,"RPA L.P. and LCDC Safeway II, LLC",3123 W Douglas Bv,Midwest,Ward 24 - North Lawndale,2000000,,10767263,,2007,CDC approved 2007-06-13; COC issued 2009-07-30,41.862418839,-87.7039989182,rda-iga:1019:6
rda-iga,Mahogany Shops And Lofts At 47,Lofts 47 Phase 1 Limited Partnership,747 E 47th St,43rd Street/Cottage Grove Avenue,Ward 4 - Grand Boulevard,12850000,,45631627,,2012,CDC approved 2012-10-31; COC issued 2015-06-17,41.8094135532,-87.6070855618,rda-iga:1021:7
rda-iga,Montclare Senior Residences Of Avalon Park Phase 1,"Montclare Senior Residences of Avalon Park Phase I, LLC et al",1200 E 78th St,71st & Stony Island,Ward 8 - Avalon Park,1850000,,22077495,,2008,CDC approved 2008-07-09; COC issued 2011-05-19,41.7533208609,-87.5954564009,rda-iga:1024:8
rda-iga,Finkl Steel,A. Finkl & Sons Co.,1355 E 93rd St,Stony Island Avenue Commercial and Burnside Industrial Corridors,Ward 8 - Burnside,22500000,,150000000,,2012,CDC approved 2012-06-27; COC issued 2018-02-05,41.7258077379,-87.5907195412,rda-iga:1025:9
rda-iga,Grossinger,"Grossinger City Autocorp, Inc.",1561 N Fremont St,Weed/Fremont,Ward 2 - Near North Side,8500000,,38964167,,2008,CDC approved 2008-05-14; COC issued 2011-04-25,41.9102866559,-87.650941527,rda-iga:1026:10
rda-iga,United Airlines Headquarters,"UAL Corp. and United Airlines, Inc.",233 S Wacker Dr,LaSalle Central,Ward 42 - Loop,25889768,,71786650,,2009,CDC approved 2009-10-07; COC issued 2012-03-27,41.8785601536,-87.6365238721,rda-iga:1028:11
rda-iga,Wrightwood Senior,79th Street Limited Partnershi,2815 W 79th St,79th Street/Southwest Highway,Ward 18 - Ashburn,2950000,,21093696,,2009,CDC approved 2009-06-03; COC issued 2011-04-07,41.7497264566,-87.6932733372,rda-iga:1030:12
rda-iga,CPS - Senn High School,Chicago Public Schools,5900 N Glenwood Av,Clark Street & Ridge Avenue,Ward 48 - Edgewater,1000000,,3301000,,2011,CDC approved 2011-11-16,41.9890506285,-87.6652622209,rda-iga:1031:13
rda-iga,Ravenswood Station Retail,Magellan Development Group,1820 W Lawrence Av,Western Avenue North,Ward 47 - Lincoln Square,4500000,,42041660,,2012,CDC approved 2012-11-15; COC issued 2014-08-19,41.9689153861,-87.6754402878,rda-iga:1032:14
rda-iga,JMC Steel,JMC,227 W Monroe St,LaSalle Central,Ward 42 - Loop,840292.3,,4696602,,2012,CDC approved 2012-10-31; COC issued 2015-08-01,41.88053925,-87.6345924635,rda-iga:1038:15
rda-iga,Pulaski Promenade,IBT Group L.L.C.,4150 S Pulaski Rd,Stevenson/Brighton,Ward 14 - Archer Heights,7935395,,33286164,,2014,CDC approved 2014-06-25; COC issued 2016-11-01,41.8170566433,-87.7240552994,rda-iga:1039:16
rda-iga,Home Run Inn,"CP MOK Properties, LLC.",10900 S Western Av,Western Avenue/Rock Island,Ward 19 - Morgan Park,350000,,1556995,,2011,CDC approved 2011-12-14; COC issued 2016-05-12,41.6953463003,-87.6814153564,rda-iga:1041:17
rda-iga,Experimur Properties,"Experimur Properties, LLC",4045 S Morgan St,Stockyards Annex,Ward 11 - New City,3700000,,20800063,,2012,CDC approved 2012-02-15; COC issued 2012-10-22,41.8201359717,-87.6505656961,rda-iga:1043:18
rda-iga,IGA - CBE - Morgan Park High School,Chicago Public Schools,1744 W Pryor Av,Western Avenue/Rock Island,Ward 19 - Morgan Park,44000,,44000,,2012,CDC approved 2012-02-07,41.692060407,-87.6656430914,rda-iga:1044:19
rda-iga,815 W. Pershing,"GFP Alliance Chicago, LLC",815 W Pershing Rd,Stockyards Annex,Ward 11 - New City,917000,,15115468,,2012,CDC approved 2012-10-31; COC issued 2013-12-09,41.8233403472,-87.6465538474,rda-iga:1049:20
rda-iga,Rosenwald Courts,Rosenwald Courts Apartments LP,4600 S Michigan Av,47th and King Drive,Ward 3 - Grand Boulevard,25000000,,109842757,,2013,CDC approved 2013-10-16; COC issued 2017-08-15,41.8110070469,-87.6230291092,rda-iga:1054:21
rda-iga,Broad Shoulders Brewery,BSB Holdings LLC,2337 S Michigan Av,24th/Michigan,Ward 3 - Near South Side,628000,,3140000,,2013,CDC approved 2013-01-01; COC issued 2015-05-22,41.8500046955,-87.6235862437,rda-iga:1058:22
rda-iga,Chicago Children's Advocacy Center,Public Building Commission,1240 S Damen Av,Western/Ogden,Ward 28 - Near West Side,9000000,,9500000,,2012,CDC approved 2012-10-03,41.8654561685,-87.6763573199,rda-iga:1059:23
rda-iga,The American National Red Cross - Rauner Center,The American National Red Cross,2200 W Harrison St,Western/Ogden,Ward 28 - Near West Side,500000,,2625056,,2012,CDC approved 2012-11-15; COC issued 2015-04-23,41.8740732041,-87.6814695372,rda-iga:1060:24
rda-iga,Medinah Temple,"Medinah Temple, Inc. et al",600 N Wabash Av,Ohio/Wabash,Ward 42 - Near North Side,18066370,,59118000,,2001,CDC approved 2001-02-07; COC issued 2005-09-16,41.8925311482,-87.6268959645,rda-iga:1230:25
rda-iga,Lakefront SRO - Clybourn,,1244 N Clybourn Av,Near North,Ward 27 - Near North Side,1000000,,14178548,,2005,CDC approved 2005-06-29,41.9046977369,-87.6410745815,rda-iga:1231:26
rda-iga,Green Works,Chicago Greenworks LLC,551 N Sacramento Av,Kinzie Industrial Conservation Area,Ward 27 - Humboldt Park,6148331,,11260251,,2005,CDC approved 2005-07-27; COC issued 2012-07-25,41.8918881671,-87.7018515801,rda-iga:1236:27
rda-iga,IGA - CTA - Block 37,Chicago Transit Authority,108 N State St,Central Loop,Ward 34 - Loop,42350000,,158150000,,2006,CDC approved 2006-10-13,41.883422637,-87.6280216521,rda-iga:1237:28
rda-iga,Ford Supplier Park - CMC,"Chicago Manufacturing Campus, LLC",12600 S Torrence Av,"126th & Torrence,Lake Calumet Area Industrial",Ward 10 - Hegewisch,17183334,,88228423,,2002,CDC approved 2002-09-04,41.6661129912,-87.5590030803,rda-iga:1238:29
rda-iga,Wheatland Tube,John Maneely Company,2300 W 47th St,45th and Western,Ward 12 - New City,1869300,,23533566,,2003,CDC approved 2003-01-16; COC issued 2005-09-30,41.808542113,-87.6820838188,rda-iga:1239:30
rda-iga,Majestic Bldg,"Shubert Hotel Associates, LLC and Monroe Presentation, LLC",18 W Monroe St,Central Loop,Ward 34 - Loop,5564650,,40537650,,2003,CDC approved 2003-12-17; COC issued 2007-09-25,41.8808481425,-87.6284355803,rda-iga:1240:31
rda-iga,UPS - 14th Union,"United Parcel Service, Inc.",1500 S Jefferson St,Roosevelt/Canal,Ward 25 - Near West Side,6933800,,24151801,,2004,CDC approved 2004-09-29; COC issued 2007-01-19,41.8617761577,-87.6421504113,rda-iga:1241:32
rda-iga,Renaissance Estates,JTA Development,1555 W 122nd St,119th Street/I-57,Ward 21 - West Pullman,3600000,,18411668,,2003,CDC approved 2003-11-12; COC issued 2006-08-23,41.671959202,-87.6609761646,rda-iga:1242:33
rda-iga,IGA - CPD - Park 0457 - Richard Clark,,3400 N Rockwell St,Western Avenue South,Ward 47 - North Center,5676700,,7176700,,2006,CDC approved 2006-03-01,41.9430520411,-87.693844427,rda-iga:1245:34
rda-iga,City Escape Garden,"City Escape Garden and Design, LLC",3022 W Lake St,Kinzie Industrial Conservation Area,Ward 27 - East Garfield Park,425000,,2700000,,2005,CDC approved 2005-11-01; COC issued 2007-03-14,41.8842339864,-87.702243366,rda-iga:1246:35
rda-iga,Jewel - Kinzie DesPlaines,"Jewel Foods Stores, Inc.",360 N Desplaines St,River West,Ward 34 - West Town,4750000,,19200000,,2005,CDC approved 2005-12-07; COC issued 2009-10-01,41.8886088356,-87.6444699127,rda-iga:1247:36
rda-iga,Havens - 87th Parnell,Lakeshore 87th St Homes L.P.,8505 S Parnell Av,Chatham Ridge,Ward 21 - Auburn Gresham,7190000,,28845118,,2001,CDC approved 2001-10-31; COC issued 2007-04-14,41.7394292948,-87.6375067292,rda-iga:1248:37
