license_id,name,category,lat,lng
2791408,FAST PARKING,other,41.90186,-87.62788
2813671,BABYLUV BEAUTY BAR INC.,personal_services,41.80941,-87.62221
2840518,1637 West North Bar and Lounge,other,41.91050,-87.66921
2845344,MARISCOS EL PUERTO,restaurant_cafe,41.80220,-87.72385
2845345,MARISCOS EL PUERTO,liquor_tavern,41.80220,-87.72385
2845935,HEFFER BBQ LLC,other,41.85388,-87.67746
2856211,EL ZORRO FOOD TRUCK,other,41.95917,-87.77805
2856212,EL ZORRO FOOD TRUCK,other,41.88391,-87.70606
2863526,"CONTINENTAL COATINGS, INC.",other,41.67352,-87.57845
2867610,Z HALAL AMERICAN INC.,restaurant_cafe,41.99747,-87.69871
2867989,TIAN XIN,other,41.88633,-87.70516
2872796,CHARLES D. DUFFY BRANCH #11 NAT'L ASSOC OF LETTER CARRIER,other,41.82405,-87.62496
2873131,Tune-Up,liquor_tavern,41.93926,-87.72278
2873132,Tune-Up,liquor_tavern,41.93926,-87.72278
2873133,Tune-Up,liquor_tavern,41.93926,-87.72278
2873378,"LITTLE DREAMERS LEARNING CENTER, INC.",other,41.77865,-87.71575
2876621,"BEAUTY BY SHANIECE, LLC",personal_services,41.95480,-87.65053
2876637,CRYSTAL HANDS DAYCARE CENTER INC.,other,41.96048,-87.77602
2877619,"WENTWORTH REHABILITATION & HEALTH CARE CENTER, INC.",medical_health,41.76897,-87.62992
2877648,BUTCHER & THE BURGER,restaurant_cafe,42.00875,-87.90687
2877649,BUTCHER & THE BURGER,liquor_tavern,42.00875,-87.90687
2877713,CHICAGO BASEBALL CLUB,gym_fitness,41.97976,-87.67636
2882425,EAGLE COLLISON,other,41.90523,-87.72437
2882653,Kindling-Downtown Cookout & Cocktails,liquor_tavern,41.87927,-87.63538
2886885,NURTURING NICHE NIDO,other,41.91015,-87.69233
2886943,CRAYOLAS EARLY LEARNING CENTER,other,41.84432,-87.71127
2890658,HNDOCU.COM LLC,grocery,41.99356,-87.74967
2890856,POUR SOULS,restaurant_cafe,41.90339,-87.67167
2891053,BARNETTE ACADEMY,other,41.91578,-87.68603
2891269,"GREYHOUND LINES, INC.",other,41.86387,-87.67112
2891291,SANDY ROSENCRANS PRODUCTIONS LLC,other,41.93216,-87.70301
2895732,"KREATING YOUNG MINDS ACADEMY, LLC",other,41.73713,-87.57809
2896415,PHANTOM TROUPE TATTOOS,personal_services,41.85785,-87.67014
2896517,MONGOLIAN MASSAGE THERAPY SPA 1 INC.,personal_services,41.96786,-87.75278
2900924,TASTY CHICAGO,other,41.88391,-87.70606
2901248,Cumin Restaurant LV,restaurant_cafe,41.93978,-87.65563
2901249,Cumin Restaurant LV,liquor_tavern,41.93978,-87.65563
2901262,KIDDIES HUB ACADEMY INC.,other,41.99486,-87.66056
2901836,BIAN,other,41.89659,-87.64300
2905958,DANIEL APARICIO,other,41.91242,-87.74579
2906531,COMMERCIAL STOP & SHOP,grocery,41.73364,-87.55149
2906534,COMMERCIAL STOP & SHOP,liquor_tavern,41.73364,-87.55149
2906717,Park Manor 75,grocery,41.75860,-87.61020
2906718,Park Manor 75,liquor_tavern,41.75860,-87.61020
2906804,LA VICTORIA BARRA + COCINA,other,41.92570,-87.70169
2907004,Kindle Communications,other,41.88692,-87.64288
2911883,NOAH'S ARK CHRISTIAN DAYCARE,other,41.69175,-87.62089
2917526,FATTAH TRADING,other,41.91689,-87.74055
2917683,"Jones Lang LaSalle Americas, Inc.",other,41.87854,-87.63212
2917876,The Highstool,liquor_tavern,41.98154,-87.76222
2918235,TAYLOR MADE SCHOLARS ELC,other,41.72259,-87.57463
2918399,CRAZY PHILLY,restaurant_cafe,41.88674,-87.76495
2923851,THE PINEAPPLE SCHOOL COMPANY,other,41.86621,-87.72993
2923965,KIBBITZNEST BOOKS & BREWS,liquor_tavern,41.92187,-87.66496
2924024,LONG TERM SKU  Ace Sushi @Fresh Thyme 107,other,41.92693,-87.68041
2924557,Southern Chicago LLC,restaurant_cafe,41.85541,-87.62570
