bg_geoid,lat,lng,population,acs_vintage,jobs,lodes_vintage
170310101001,42.0221604,-87.6683228,647,ACS 2020-2024 5-year,6,LODES8 2023
170310101002,42.0213567,-87.6727517,1288,ACS 2020-2024 5-year,69,LODES8 2023
170310101003,42.0206033,-87.6664194,2263,ACS 2020-2024 5-year,143,LODES8 2023
170310102011,42.0144174,-87.6819482,1820,ACS 2020-2024 5-year,14,LODES8 2023
170310102012,42.0146832,-87.6776570,1606,ACS 2020-2024 5-year,14,LODES8 2023
170310102013,42.0177395,-87.6826021,1691,ACS 2020-2024 5-year,51,LODES8 2023
170310102014,42.0172836,-87.6790687,2244,ACS 2020-2024 5-year,52,LODES8 2023
170310102021,42.0176322,-87.6735910,1405,ACS 2020-2024 5-year,450,LODES8 2023
170310102022,42.0143138,-87.6730354,1077,ACS 2020-2024 5-year,109,LODES8 2023
170310103001,42.0159300,-87.6650060,927,ACS 2020-2024 5-year,184,LODES8 2023
170310103002,42.0182358,-87.6672083,2986,ACS 2020-2024 5-year,585,LODES8 2023
170310103003,42.0139446,-87.6644089,1207,ACS 2020-2024 5-year,197,LODES8 2023
170310103004,42.0149655,-87.6685558,1357,ACS 2020-2024 5-year,102,LODES8 2023
170310104001,42.0064109,-87.6588157,1123,ACS 2020-2024 5-year,30,LODES8 2023
170310104002,42.0100729,-87.6606547,727,ACS 2020-2024 5-year,33,LODES8 2023
170310104003,42.0041688,-87.6588541,2695,ACS 2020-2024 5-year,4535,LODES8 2023
170310105011,42.0094135,-87.6640628,824,ACS 2020-2024 5-year,36,LODES8 2023
170310105012,42.0113681,-87.6643282,1344,ACS 2020-2024 5-year,46,LODES8 2023
170310105013,42.0076389,-87.6635657,1550,ACS 2020-2024 5-year,76,LODES8 2023
170310105021,42.0034899,-87.6632645,1530,ACS 2020-2024 5-year,95,LODES8 2023
170310105022,42.0055382,-87.6633897,1756,ACS 2020-2024 5-year,88,LODES8 2023
170310105031,41.9993914,-87.6632119,1804,ACS 2020-2024 5-year,154,LODES8 2023
170310105032,42.0015355,-87.6630141,953,ACS 2020-2024 5-year,121,LODES8 2023
170310106001,42.0054662,-87.6680023,2207,ACS 2020-2024 5-year,59,LODES8 2023
170310106002,42.0115289,-87.6680137,1213,ACS 2020-2024 5-year,591,LODES8 2023
170310106003,42.0008578,-87.6668138,1766,ACS 2020-2024 5-year,477,LODES8 2023
170310106004,42.0088648,-87.6678896,1281,ACS 2020-2024 5-year,185,LODES8 2023
170310107011,42.0070613,-87.6782605,1257,ACS 2020-2024 5-year,6,LODES8 2023
170310107012,42.0106545,-87.6788803,2221,ACS 2020-2024 5-year,183,LODES8 2023
170310107021,42.0102260,-87.6727377,1109,ACS 2020-2024 5-year,1670,LODES8 2023
170310107022,42.0081642,-87.6727320,803,ACS 2020-2024 5-year,138,LODES8 2023
170310107023,42.0063757,-87.6725873,1226,ACS 2020-2024 5-year,66,LODES8 2023
170310107024,42.0120527,-87.6729163,1601,ACS 2020-2024 5-year,47,LODES8 2023
170310201001,42.0143097,-87.6874996,2137,ACS 2020-2024 5-year,98,LODES8 2023
170310201002,42.0174768,-87.6866408,2022,ACS 2020-2024 5-year,174,LODES8 2023
170310202001,42.0137699,-87.7043045,1784,ACS 2020-2024 5-year,167,LODES8 2023
170310202002,42.0144676,-87.6937705,1028,ACS 2020-2024 5-year,481,LODES8 2023
170310202003,42.0174162,-87.7041657,3157,ACS 2020-2024 5-year,100,LODES8 2023
170310202004,42.0169756,-87.6959619,1663,ACS 2020-2024 5-year,463,LODES8 2023
170310203011,42.0095379,-87.7070293,1844,ACS 2020-2024 5-year,123,LODES8 2023
170310203012,42.0035974,-87.7070847,1525,ACS 2020-2024 5-year,224,LODES8 2023
170310203013,42.0084045,-87.7021505,1609,ACS 2020-2024 5-year,142,LODES8 2023
170310203021,42.0107652,-87.6973576,1027,ACS 2020-2024 5-year,134,LODES8 2023
170310203022,42.0075238,-87.6978969,1681,ACS 2020-2024 5-year,37,LODES8 2023
170310203023,42.0082222,-87.6931353,2356,ACS 2020-2024 5-year,504,LODES8 2023
170310204001,42.0110969,-87.6865581,1076,ACS 2020-2024 5-year,150,LODES8 2023
170310204002,42.0085918,-87.6859123,1786,ACS 2020-2024 5-year,49,LODES8 2023
170310204003,42.0061672,-87.6853658,1501,ACS 2020-2024 5-year,41,LODES8 2023
170310205001,41.9990239,-87.6805469,3415,ACS 2020-2024 5-year,21,LODES8 2023
170310205002,41.9989011,-87.6880948,1205,ACS 2020-2024 5-year,218,LODES8 2023
170310205003,42.0025423,-87.6845206,1120,ACS 2020-2024 5-year,103,LODES8 2023
170310205004,41.9989455,-87.6850417,885,ACS 2020-2024 5-year,26,LODES8 2023
170310206011,42.0029240,-87.7012949,2165,ACS 2020-2024 5-year,49,LODES8 2023
170310206012,41.9991234,-87.7040834,2938,ACS 2020-2024 5-year,148,LODES8 2023
170310206013,41.9993901,-87.6990857,1172,ACS 2020-2024 5-year,229,LODES8 2023
170310206021,42.0031671,-87.6918539,1385,ACS 2020-2024 5-year,1292,LODES8 2023
170310206022,41.9995167,-87.6917614,795,ACS 2020-2024 5-year,151,LODES8 2023
170310206023,41.9994521,-87.6954232,1059,ACS 2020-2024 5-year,230,LODES8 2023
170310206024,42.0031012,-87.6955126,1551,ACS 2020-2024 5-year,45,LODES8 2023
170310207011,41.9876119,-87.7043824,953,ACS 2020-2024 5-year,1087,LODES8 2023
170310207012,41.9849193,-87.7017932,818,ACS 2020-2024 5-year,106,LODES8 2023
170310207021,41.9957054,-87.7076734,1764,ACS 2020-2024 5-year,336,LODES8 2023
170310207022,41.9957338,-87.7020025,2558,ACS 2020-2024 5-year,304,LODES8 2023
170310207023,41.9921900,-87.7018830,1579,ACS 2020-2024 5-year,357,LODES8 2023
170310207024,41.9921220,-87.7067754,2156,ACS 2020-2024 5-year,105,LODES8 2023
170310208011,41.9849779,-87.6919261,950,ACS 2020-2024 5-year,99,LODES8 2023
170310208012,41.9886140,-87.6969068,1559,ACS 2020-2024 5-year,124,LODES8 2023
170310208013,41.9849518,-87.6967886,1151,ACS 2020-2024 5-year,302,LODES8 2023
170310208014,41.9886398,-87.6920418,1672,ACS 2020-2024 5-year,216,LODES8 2023
170310208021,41.9922752,-87.6921477,1055,ACS 2020-2024 5-year,246,LODES8 2023
170310208022,41.9922317,-87.6970203,3607,ACS 2020-2024 5-year,1121,LODES8 2023
170310208023,41.9958052,-87.6971367,2033,ACS 2020-2024 5-year,113,LODES8 2023
170310208024,41.9958752,-87.6922607,2269,ACS 2020-2024 5-year,200,LODES8 2023
170310209011,41.9964361,-87.6855555,2684,ACS 2020-2024 5-year,165,LODES8 2023
170310209012,41.9922671,-87.6856000,1452,ACS 2020-2024 5-year,0,LODES8 2023
170310209013,41.9936859,-87.6879109,2120,ACS 2020-2024 5-year,83,LODES8 2023
170310209021,41.9949459,-87.6780479,2381,ACS 2020-2024 5-year,1449,LODES8 2023
170310209022,41.9922748,-87.6805202,1726,ACS 2020-2024 5-year,343,LODES8 2023
170310301011,41.9912407,-87.6588802,658,ACS 2020-2024 5-year,243,LODES8 2023
170310301012,41.9912256,-87.6557854,549,ACS 2020-2024 5-year,18,LODES8 2023
170310301013,41.9912095,-87.6568499,1415,ACS 2020-2024 5-year,4,LODES8 2023
170310301014,41.9910538,-87.6548790,893,ACS 2020-2024 5-year,92,LODES8 2023
170310301021,41.9930264,-87.6550225,1161,ACS 2020-2024 5-year,38,LODES8 2023
170310301022,41.9934851,-87.6590522,941,ACS 2020-2024 5-year,143,LODES8 2023
170310301023,41.9934691,-87.6565558,1272,ACS 2020-2024 5-year,47,LODES8 2023
170310301031,41.9954083,-87.6592138,1083,ACS 2020-2024 5-year,232,LODES8 2023
170310301032,41.9955241,-87.6551527,1049,ACS 2020-2024 5-year,250,LODES8 2023
170310301041,41.9978056,-87.6552368,2875,ACS 2020-2024 5-year,73,LODES8 2023
170310301042,41.9959196,-87.6576946,737,ACS 2020-2024 5-year,0,LODES8 2023
170310302001,41.9963423,-87.6629040,1737,ACS 2020-2024 5-year,613,LODES8 2023
170310302002,41.9925654,-87.6626713,1281,ACS 2020-2024 5-year,177,LODES8 2023
170310302003,41.9926485,-87.6676589,946,ACS 2020-2024 5-year,55,LODES8 2023
170310302004,41.9963068,-87.6678136,1827,ACS 2020-2024 5-year,320,LODES8 2023
170310303001,41.9961968,-87.6726162,1406,ACS 2020-2024 5-year,173,LODES8 2023
170310303002,41.9925923,-87.6724540,1550,ACS 2020-2024 5-year,38,LODES8 2023
170310304001,41.9887321,-87.6722777,1228,ACS 2020-2024 5-year,178,LODES8 2023
170310304002,41.9850611,-87.6718676,1488,ACS 2020-2024 5-year,246,LODES8 2023
170310305001,41.9892043,-87.6626339,1741,ACS 2020-2024 5-year,122,LODES8 2023
170310305002,41.9886099,-87.6674622,1728,ACS 2020-2024 5-year,242,LODES8 2023
170310305003,41.9859070,-87.6623492,1660,ACS 2020-2024 5-year,110,LODES8 2023
170310305004,41.9849407,-87.6663665,1389,ACS 2020-2024 5-year,188,LODES8 2023
170310306011,41.9887066,-87.6567714,1741,ACS 2020-2024 5-year,18,LODES8 2023
170310306012,41.9886687,-87.6588466,819,ACS 2020-2024 5-year,71,LODES8 2023
170310306013,41.9889716,-87.6546087,1347,ACS 2020-2024 5-year,169,LODES8 2023
170310306031,41.9845648,-87.6583704,907,ACS 2020-2024 5-year,53,LODES8 2023
170310306032,41.9863890,-87.6584254,1089,ACS 2020-2024 5-year,38,LODES8 2023
170310306041,41.9846396,-87.6549462,866,ACS 2020-2024 5-year,15,LODES8 2023
170310306042,41.9858707,-87.6524546,1581,ACS 2020-2024 5-year,70,LODES8 2023
170310306043,41.9864310,-87.6559854,662,ACS 2020-2024 5-year,13,LODES8 2023
170310307011,41.9827453,-87.6579659,1516,ACS 2020-2024 5-year,387,LODES8 2023
170310307021,41.9802679,-87.6544771,902,ACS 2020-2024 5-year,329,LODES8 2023
