station_or_segment_id,road_name,lat,lng,aadt,aadt_year
209492,143rd St,41.629488,-87.907156,13700,2025
209493,143rd St,41.62943,-87.910241,13700,2025
209494,143rd St,41.629508,-87.906119,13700,2025
209495,143rd St,41.629465,-87.908286,13700,2025
209496,143rd St,41.629521,-87.905337,13700,2025
209524,Bell Rd,41.624347,-87.930911,11200,2023
209528,Bell Rd,41.626467,-87.931003,11200,2023
209529,Bell Rd,41.628967,-87.931072,11200,2023
209533,Bell Rd,41.629565,-87.931086,11200,2023
209535,Bell Rd,41.621809,-87.930815,11200,2023
209538,Bell Rd,41.620942,-87.930784,11200,2023
209540,Bell Rd,41.627072,-87.931029,11200,2023
209547,Bell Rd,41.628057,-87.931051,11200,2023
209566,Will-Cook Rd,41.628576,-87.911488,6000,2022
209567,Will-Cook Rd,41.627095,-87.911439,6000,2022
209569,Will-Cook Rd,41.628208,-87.911477,6000,2022
209570,Will-Cook Rd,41.623144,-87.911302,6000,2022
209574,Will-Cook Rd,41.621648,-87.911251,6000,2022
209577,Will-Cook Rd,41.62232,-87.911273,6000,2022
209583,Will-Cook Rd,41.629019,-87.911503,6000,2022
209595,Will-Cook Rd,41.625839,-87.911396,6000,2022
209596,Will-Cook Rd,41.62205,-87.911265,6000,2022
209598,Will-Cook Rd,41.630458,-87.911551,5950,2022
209601,Will-Cook Rd,41.624821,-87.911361,6000,2022
209603,Will-Cook Rd,41.620685,-87.911209,6000,2022
209604,Will-Cook Rd,41.624045,-87.911333,6000,2022
209618,OAK TR,41.62725,-87.94712,100,2023
209625,143rd St,41.629085,-87.932246,15300,2023
209626,143rd St,41.629376,-87.914916,15500,2023
209627,143rd St,41.628793,-87.946049,15300,2023
209628,143rd St,41.628699,-87.949889,15300,2023
209629,143rd St,41.628987,-87.936531,15300,2023
209630,143rd St,41.629145,-87.929054,15500,2023
209631,143rd St,41.628712,-87.949292,15300,2023
209632,143rd St,41.629119,-87.930984,15500,2023
209633,143rd St,41.628844,-87.943258,15300,2023
209634,143rd St,41.629187,-87.92617,15500,2023
209635,143rd St,41.629164,-87.927669,15500,2023
209636,143rd St,41.628732,-87.948412,15300,2023
209637,143rd St,41.6294,-87.912496,15500,2023
209638,143rd St,41.628911,-87.940246,15300,2023
209640,143rd St,41.62913,-87.930157,15500,2023
209641,143rd St,41.628884,-87.941449,15300,2023
209642,143rd St,41.629265,-87.921022,15500,2023
211968,Glen Rd,41.673928,-87.909651,50,2022
211969,Campbell St,41.682031,-87.93407,150,2022
211970,Woodlawn Ave,41.681571,-87.935587,50,2022
211974,Bluff Rd,41.709472,-87.94549,6150,2024
211975,Bluff Rd,41.709162,-87.94582,6150,2024
211976,Grant Rd,41.697845,-87.938049,1500,2025
211977,McCarthy Rd,41.665191,-87.941113,5950,2025
211982,115th St,41.679943,-87.926733,725,2022
211983,115th St,41.680099,-87.922561,725,2022
211984,115th St,41.679918,-87.930048,725,2022
211985,115th St,41.679893,-87.931351,725,2022
211986,115th St,41.679927,-87.928781,725,2022
211987,Bell Rd,41.634264,-87.931209,11200,2023
211988,Bell Rd,41.635831,-87.931253,11200,2023
211989,Bell Rd,41.64358,-87.931454,11200,2023
211990,Bell Rd,41.63795,-87.931314,11200,2023
211991,Bell Rd,41.633071,-87.931176,11200,2023
211992,Bell Rd,41.636746,-87.931279,11200,2023
211993,Bell Rd,41.64096,-87.931395,11200,2023
211994,Bell Rd,41.637348,-87.931297,11200,2023
211995,Bell Rd,41.631505,-87.931133,11200,2023
211996,107th St,41.697634,-87.933196,4100,2022
211997,107th St,41.697201,-87.906289,4100,2022
211998,107th St,41.696975,-87.90859,4100,2022
211999,107th St,41.696275,-87.915485,4100,2022
212000,107th St,41.696603,-87.912131,4100,2022
212001,107th St,41.697727,-87.934441,4100,2022
212002,107th St,41.697962,-87.935856,4100,2022
212003,107th St,41.696947,-87.92507,4100,2022
212004,Jackson St,41.708994,-87.943366,625,2016
212005,Jackson St,41.709859,-87.943371,625,2016
212006,Jackson St,41.71329,-87.943434,625,2016
212007,Jackson St,41.710723,-87.943407,625,2016
212009,Jackson St,41.711652,-87.943391,625,2016
212010,Jackson St,41.716552,-87.943567,625,2016
212011,Bell Rd,41.646103,-87.931447,11200,2023
212012,Bell Rd,41.657833,-87.931803,11300,2022
212013,Bell Rd,41.679691,-87.93255,11700,2022
212014,Bell Rd,41.651407,-87.931603,11300,2022
212015,Bell Rd,41.650057,-87.93156,11200,2023
212016,Bell Rd,41.664534,-87.932019,11300,2022
212017,Bell Rd,41.682712,-87.932646,11700,2022
212018,Bell Rd,41.674797,-87.932402,11700,2022
212019,Bell Rd,41.648906,-87.931522,11200,2023
212020,Bell Rd,41.665986,-87.932073,11700,2022
212021,Bell Rd,41.668897,-87.9322,11700,2022
212022,Bell Rd,41.666809,-87.932109,11700,2022
212023,Madison St,41.712059,-87.93368,1350,2024
212024,Madison St,41.71521,-87.933796,1350,2024
212025,Madison St,41.710195,-87.933611,1350,2024
212026,Madison St,41.713724,-87.933736,1350,2024
212029,118th St,41.674603,-87.912256,35,2022
212030,135th St,41.644083,-87.904882,425,2022
212031,135th St,41.643993,-87.909554,425,2022
212035,131st St,41.651232,-87.911991,10200,2022
212039,131st St,41.650856,-87.931198,10200,2022
212040,131st St,41.650722,-87.937802,10200,2022
212043,131st St,41.651201,-87.913544,10200,2022
212045,131st St,41.650568,-87.944779,10200,2022
212046,131st St,41.650769,-87.935509,10200,2022
212047,131st St,41.651019,-87.922856,10200,2022
212048,131st St,41.650819,-87.933035,10200,2022
212050,131st St,41.651357,-87.904703,10200,2022
212052,Bell Rd,41.685444,-87.932726,50,2018
212053,Bell Rd,41.686909,-87.932792,50,2018
212054,Glen Rd,41.675823,-87.909906,125,2022
212055,Will-Cook Rd,41.643853,-87.911924,5950,2022
212056,Will-Cook Rd,41.653409,-87.912264,3600,2022
212057,Will-Cook Rd,41.639991,-87.911831,5950,2022
212058,Will-Cook Rd,41.665332,-87.912654,3600,2022
212059,Will-Cook Rd,41.650689,-87.91216,5350,2022
212060,Will-Cook Rd,41.64705,-87.912028,5350,2022
