id,name,sponsor,level,instrument,status,closingSoon,daysToClose,cadence,opensAt,closesAt,closesAtTime,windowLabel,nextWindowExpected,amountDisplay,amountShare,geography,entityTypes,stage,demographicRestriction,useOfFunds,keyExclusions,costToApply,legitimacy,isNew,newBecause,inExplorerCatalog,explorerCatalogId,applyUrl,sourceUrl,verifiedAt,evidence,notes,tier,validationErrors
preserving-black-churches-2026,Preserving Black Churches,National Trust for Historic Preservation — African American Cultural Heritage Action Fund,Nonprofit,grant,open,True,0,recurring_scheduled,,2026-09-11,17:00 America/New_York,2026 round,,"$50,000 to $500,000","Caps vary by project type and applicant type: up to $500,000 for capital projects at churches with active congregations, $250,000 for non-active",US (no geographic restriction stated; Chicago congregations eligible),nonprofit;property_owner,any,other (sites must have ties to African American cultural heritage),building_improvements;other,Property must generally be at least 50 years old; rare exceptions for exceptional significance.,free,official,True,not in Explorer catalog,False,,https://savingplaces.org/preserving-black-churches-guidelines,https://savingplaces.org/preserving-black-churches-guidelines,2026-09-11,"Application deadline printed as 'September 11, 2026, at 5:00 pm Eastern Standard Time'; awards $50,000-$500,000; status update by Oct 30, 2026, final notifications Feb 2027.","DEADLINE IS TODAY at 5:00 pm ET = 4:00 pm Chicago. Funds capital projects, programming/interpretation, capacity building, project planning, and endowment. Best-fit foundation program in this tier for a South Side church. Watch for the next round announcement.",foundation-sector,
skip-instant-grant-243,"Skip $1,000 Instant Grants #243",Skip (YoGovernment Inc. d/b/a Skip),Private,award_drawing,open,True,0,recurring_scheduled,2026-09-11,2026-09-11,19:00 - timezone NOT stated on the page,Instant Grants live drawing #243,,"$200-$1,000 per winner; typically 5-10 winners per session",,United States,for_profit;individual,any,none,working_capital;other,Users may win once every 4 months,free,sweepstakes,False,,False,,https://helloskip.com/funding-details/1k-instant-243,https://helloskip.com/funding-details/1k-instant-243?source=homepage,2026-09-11,"""Due Date Sep 11, 2026 at 7pm"" - ""No purchase necessary. Everyone has an equal opportunity to win a Skip Instant Grant."" Entries open 30 minutes before the live drawing.","Re-verified today (drawing is TODAY). Timezone is NOT stated anywhere on the page or the funding index - every Instant Grant shows a bare '7pm'. Do not apply the $10k Grant Competition Official Terms (skill-based contest) to Instant Grants; these are explicitly equal-chance. Same vendor/subscription funnel as the $10k grant, but the free Starter plan states Instant Grants are included.",private-national,
img-leave-your-mark-2026,Leave Your Mark Grant (10th Annual),IMG (International Medical Group),Private,grant,open,True,2,recurring_scheduled,2026-08-03,2026-09-13,23:59 America/New_York (10:59 p.m. America/Chicago),"10th annual round, Aug 3 - Sep 13, 2026",,"$3,500 x 2 organizations; $1,000 x 3 individuals",,Worldwide (US applicants eligible; Chicago-based nonprofits and individuals qualify),nonprofit;individual,any,none,other,IMG employees ineligible; groups/clubs may not apply on behalf of an organization,free,official,True,not in Explorer catalog,False,,https://www.imglobal.com/leave-your-mark,https://www.imglobal.com/leave-your-mark,2026-09-11,"Application period Aug 3 - Sep 13, 2026, 11:59 p.m. ET. Two organizations receive $3,500 each; three individuals receive $1,000 each. Winners announced Oct 16, 2026.","NOT a small-business grant: funds mission/service work, not business operations. Requires a 500-word essay or 3-minute video. Included because Chamber-affiliated nonprofits and community organizations can apply. Most urgent deadline in this tier.",private-national,
cfw-fall-primary-cycle-2026,Fall Primary Grant Cycle,Chicago Foundation for Women,Foundation,grant,open,True,5,recurring_scheduled,,2026-09-16,,Fall Primary Cycle 2026,,Not published on the sponsor page (guidelines are in a linked Box document),,"Chicago region (CFW giving circles cover North Chicagoland, South Side, West Side, Western Suburbs)",nonprofit,any,"other (serving women, girls, and gender-expansive people)",other,Not published on the page; see the linked application guidelines.,free,official,True,not in Explorer catalog,False,,https://www.grantinterface.com/Home/Logon?urlkey=cfw,https://www.cfw.org/grants/,2026-09-11,"""Applications from new applicants and current grantees will be accepted through September 16, 2026."" Applications submitted through Foundant/GrantInterface.","CLOSES IN 5 DAYS. Award range, 501(c)(3)/fiscal-sponsor policy, budget caps and exact geography are NOT on the live web page - they sit in a Box-hosted guidelines PDF that could not be fetched. Call or email CFW before assuming eligibility. No time of day stated for the Sept 16 cutoff.",foundation-sector,
illinois-epa-section-319h-fy2026,Section 319(h) Nonpoint Source Pollution Control Grant - FY2026 NOFO,Illinois Environmental Protection Agency,State,reimbursement,open,True,5,recurring_scheduled,2026-07-22,2026-09-16,13:00 America/Chicago (portal records 1:00 PM Central),FY2026 Section 319 Nonpoint Source Program NOFO,,"$50,000 - $1,500,000 per project",Maximum funding award is 60 percent of total project cost (at least 40% non-federal match),Illinois (watershed-based; Chicago/Calumet watershed projects qualify),for_profit;nonprofit;property_owner;individual,any,none,energy;building_improvements;other,Reimbursement program - applicant must front costs. GATA Grantee Portal pre-qualification is required and applications are submitted through grants.illinois.gov. Projects generally must implement an approved watershed-based plan.,free,official,True,not in Explorer catalog,False,,https://grants.illinois.gov/portal/,https://il.amplifund.com/Public/Opportunities/Details/624a27f5-7a26-4bc1-85e3-0b31ef4fbad7,2026-09-11,"FY2026 NOFO record: Submission Open Date 7/22/2026 12:00 PM Central, Submission Close Date 9/16/2026 1:00 PM Central, Award Floor $50,000.00, Award Ceiling $1,500,000.00, Eligible Applicants include Nonprofit Organizations and For-Profit Organizations.","CLOSES IN 5 DAYS. Illinois EPA's own program page (https://epa.illinois.gov/topics/water-quality/watershed-management/nonpoint-sources/grants.html) confirms 'The FY 2026 Section 319 Notice of Funding Opportunities was released on July 22, 2026 and applications are due by Se[ptember 16]' but still links FY2025 NOFOs beneath it - use the FY2026 portal record. The 60% cap and 40% match make this realistic only for an organization with matching funds already in hand.",county-state,
skip-10k-fall-grant-2026,"Skip's $10,000 Fall Grant",Skip (YoGovernment Inc. d/b/a Skip),Private,grant,open,True,7,recurring_unscheduled,,2026-09-18,23:59 America/New_York (10:59 p.m. America/Chicago),Fall 2026 $10k round,,"$10,000 (one award)",,United States,for_profit;individual,any,none,working_capital;other,None published on the detail page,free,lead_gen,False,,False,,https://helloskip.com/funding-details/10k-fall-grants,https://helloskip.com/funding-details/10k-fall-grants?source=homepage,2026-09-11,"""Deadline: Apply by September 18 at 11:59 PM ET"" - $10,000, one grant, U.S.-based entrepreneurs and small business owners 18+.","Re-verified today (deadline < Sep 30). Skip's funding index widget shows 'Sep 19, 2026' while the detail page shows Sep 18 11:59 PM ET - the detail page controls; the discrepancy is still live. Skip is a freemium platform (Plus $29/mo, Pro $99/mo); Official Terms Sec.2.2 allow competitions limited to paid tiers and this round shows no such gate, but the free Starter plan advertises only 'some' $10k grants - confirm in-account. Terms Sec.1 declare a skill-based contest, not a drawing; Sec.2.6 no obligation to award; Sec.3.1 a 'Grant' may be in-kind credits. Vendor/subscription funnel.",private-national,
cct-sponsorships-2026,Sponsorships,The Chicago Community Trust,Foundation,grant,open,True,10,recurring_scheduled,,2026-09-21,,Deadline for events taking place November 2026 - January 2027,,Not published on the opportunity page,,Chicago or Cook County,nonprofit,any,none,marketing;other,"Not eligible: political activities, religious events, sports teams, individuals, or events already sponsored by the Trust.",free,official,False,,False,,https://www.cct.org/grants/opportunities/sponsorships/,https://www.cct.org/grants/opportunities/sponsorships/,2026-09-11,"Deadline printed as ""September 21, 2026"" for events Nov 2026 - Jan 2027; eligibility requires 501(c)(3), fiscal sponsorship by a 501(c)(3), or governmental unit status.","Event sponsorship only, not general operating or facility money. Carried over from the Chamber's Sept 10 research and re-verified live today. Award size not published.",foundation-sector,
hralice-fund-her-future-2026,2026 Fund Her Future Grant from H&R Block,"H&R Block, in partnership with Hello Alice",Private,grant,open,True,11,recurring_scheduled,2026-09-01,2026-09-22,18:00 America/New_York (5:00 p.m. America/Chicago),2026 round,,"$50,000 package x up to 4 recipients ($45,000 cash + $5,000 in H&R Block small business services)",,"United States (50 states, DC, U.S. territories)",for_profit,any,women,working_capital;equipment;marketing;other,Nonprofits excluded (for-profit required); full criteria in Terms and Conditions,free,official,False,,False,,https://www.helloalice.com/opportunities/grants/h-r-block-fund-her-future-grant-2026,https://www.helloalice.com/opportunities/grants/h-r-block-fund-her-future-grant-2026,2026-09-11,"""Applications open: September 1, 2026 at 9 am ET / Applications close: September 22, 2026 at 6 pm ET""; ""up to four women-owned businesses to receive a $50,000 Fund Her Future Grant.""","DISAGREES WITH THE SEPT 10 CHAMBER RESEARCH on two points: (a) the award is a $50,000 package (up to 4 recipients), not an unspecified amount; (b) the live page's published eligibility criteria list NO revenue minimum - the '$20,000 in 2025 revenue' requirement the Sept 10 file cites does not appear on the page today. Full criteria are behind the Terms and Conditions link, so a revenue floor may still exist there. Hello Alice sits behind a Vercel bot check; this page was read with a real browser (Playwright), not curl.",private-national,
chicago-bacp-neighborhood-market-grant,Neighborhood Market Grant Program,"Chicago Department of Business Affairs and Consumer Protection (BACP), administered by Allies for Community Business",City,grant,open,True,14,one_time,,2026-09-25,"17:00 CST (page says ""5:00 p.m. CST"")","Single 2026 round — closes Sept. 25, 2026",,"One-time awards up to $10,000 (program total $450,000)",,Chicago Qualified Census Tracts (QCTs) — check the Neighborhood Market Grant Priority Areas Map; large parts of Southeast Chicago are QCTs,for_profit;nonprofit,any,none,working_capital;equipment;marketing;other,Food retail only. Business must be located in (or the farmers market must serve) a designated Qualified Census Tract.,free,official,True,announced 2026-08-28 (Mayor's Office / BACP launch release); first window in 2026,False,,https://www.chicago.gov/city/en/sites/bacp-recovery-plan/home/neighborhoodmarketgrantprogram.html,https://www.chicago.gov/city/en/sites/bacp-recovery-plan/home/neighborhoodmarketgrantprogram.html,2026-09-11,"""The application will close on September 25, 2026, at 5:00 p.m. CST."" — ""one-time awards in amounts up to $10,000 to eligible food entrepreneurs and farmers market operators.""","CLOSES IN 14 DAYS. The page writes ""5:00 p.m. CST"" — September is Central DAYLIGHT Time, so the literal reading (5 p.m. CST = 6 p.m. CDT) is almost certainly a drafting error; treat 5:00 p.m. Chicago time as the deadline. Questions: granthelp@a4cb.org, (312) 275-3000. Funded by ARPA LFRF (ALN 21.027). Both tracks share the same deadline and cap.",city,
credibly-small-business-award-2026,2026 Credibly Small Business Award,Credibly,Private,award_drawing,open,True,19,recurring_scheduled,2026-09-01,2026-09-30,not stated on the page,2026 award,,"$30,000 / $20,000 / $10,000 (three winners, $60,000 total)",,United States,for_profit,operating_6mo,none,working_capital;equipment;other,"Nonprofits excluded. Clawback: if a winning business permanently closes or files bankruptcy within three months of the award, Credibly may require repayment of the full amount.",free,sweepstakes,False,,False,,https://www.credibly.com/small-business-award/,https://www.credibly.com/small-business-award/,2026-09-11,"""September 1 - September 30, 2026""; ""Applications close on September 30, 2026."" ""Winners will be selected through a random drawing from all eligible entries."" No entry fee.","Re-verified today (deadline < Sep 30). LENDER LEAD-GEN: Credibly is an alternative small-business finance company; entering shares business and bank-statement data with a lender and feeds its funding-offer pipeline. Disclose this to clients. Random drawing, not a scored grant. Closing time of day not printed; rules PDF at credibly.com/wp-content/uploads/Credibly-Small-Business-Awards-Sweepstakes-Rules-2026.pdf.",private-national,
